test_id,Ed_prc,Gtan/fe/fp
CD1,4.478909,0.3899751
CD1,4.500347,0.3456568
CD1,4.521634,0.3110654
CD1,4.54476,0.3388194
CD1,4.566157,0.3345425
CD1,4.58723,0.2987811
CD1,4.608277,0.3167528
CD1,4.63067,0.3027851
CD1,4.652979,0.3491503
CD1,4.674298,0.3669445
CD1,4.695852,0.297445
CD1,4.717949,0.32925
CD1,4.73983,0.2952607
CD1,4.761714,0.3267149
CD1,4.78228,0.3235113
CD1,4.803939,0.3657292
CD1,4.825827,0.3363086
CD1,4.847523,0.3101379
CD1,4.869533,0.3271216
CD1,4.891767,0.3290274
CD1,4.912439,0.3013979
CD1,4.932506,0.3590173
CD1,4.95416,0.2845756
CD1,4.97632,0.2917009
CD1,4.999435,0.3103939
CD1,5.02103,0.2942633
CD1,5.042421,0.2463268
CD1,5.064792,0.3326612
CD1,5.085734,0.2739746
CD1,5.106689,0.2607349
CD1,5.129919,0.3003287
CD1,5.153379,0.2489358
CD1,5.173903,0.3271227
CD1,5.195202,0.301526
CD1,5.216732,0.3202805
CD1,5.238283,0.2409864
CD1,5.26042,0.2865584
CD1,5.282033,0.247743
CD1,5.303297,0.263108
CD1,5.325209,0.2795921
CD1,5.345644,0.2715634
CD1,5.36743,0.2793564
CD1,5.390569,0.2638054
CD1,5.412119,0.2663749
CD1,5.433954,0.2465059
CD1,5.45584,0.2826295
CD1,5.477951,0.2740412
CD1,5.499254,0.2343252
CD1,5.521436,0.2357197
CD1,5.542792,0.2861925
CD1,5.564724,0.232829
CD1,5.586516,0.2268102
CD1,5.607823,0.2343025
CD1,5.629215,0.2686852
CD1,5.650376,0.2029631
CD1,5.67274,0.2179023
CD1,5.69424,0.2107946
CD1,5.714658,0.2230106
CD1,5.737392,0.2606062
CD1,5.759311,0.2195244
CD1,5.781716,0.2539117
CD1,5.802947,0.2447834
CD1,5.824191,0.2723825
CD1,5.846001,0.2094665
CD1,5.867632,0.2632199
CD1,5.888677,0.2605272
CD1,5.909988,0.2782364
CD1,5.932914,0.3290383
CD1,5.953654,0.2703645
CD1,5.975314,0.2549828
CD1,5.996718,0.2524151
CD1,6.018351,0.2868165
CD1,6.040042,0.2068308
CD1,6.062065,0.2863349
CD1,6.083855,0.2455847
CD1,6.105968,0.2751625
CD1,6.128117,0.2351001
CD1,6.15008,0.2196319
CD1,6.172732,0.2018059
CD1,6.194386,0.2555089
CD1,6.216095,0.2274334
CD1,6.23777,0.2201983
CD1,6.259986,0.2260291
CD1,6.28186,0.2255034
CD1,6.303554,0.2090308
CD1,6.325483,0.2206934
CD1,6.346699,0.1856223
CD1,6.368379,0.1973095
CD1,6.389182,0.2071151
CD1,6.411735,0.150741
CD1,6.433283,0.194321
CD1,6.455086,0.1645725
CD1,6.477054,0.212476
CD1,6.498836,0.170899
CD1,6.520894,0.2332821
CD1,6.542202,0.1726243
CD1,6.564237,0.2467627
CD1,6.586463,0.2073037
CD1,6.608627,0.2353885
CD1,6.631248,0.2271984
CD1,6.652681,0.2544153
CD1,6.673808,0.1847918
CD1,6.696829,0.2177423
CD1,6.719517,0.2244012
CD1,6.740156,0.1999792
CD1,6.761495,0.2531405
CD1,6.783249,0.1904769
CD1,6.805135,0.2291986
CD1,6.827347,0.2060591
CD1,6.847582,0.2333071
CD1,6.869712,0.1840529
CD1,6.891832,0.2868521
CD1,6.912423,0.1939995
CD1,6.933454,0.2467557
CD1,6.956488,0.1948552
CD1,6.978768,0.2012567
CD1,7.000853,0.1889344
CD1,7.022236,0.1689325
CD1,7.043699,0.1743756
CD1,7.066311,0.1513718
CD1,7.089187,0.1821998
CD1,7.11153,0.1507579
CD1,7.133654,0.2000911
CD1,7.155491,0.1449312
CD1,7.177563,0.2019184
CD1,7.19968,0.1808256
CD1,7.221295,0.2028647
CD1,7.243285,0.2090095
CD1,7.265139,0.2498042
CD1,7.286445,0.203163
CD1,7.307961,0.2236954
CD1,7.329522,0.191227
CD1,7.351211,0.1954467
CD1,7.373043,0.2037719
CD1,7.394436,0.1811316
CD1,7.416332,0.1592618
CD1,7.438632,0.2120042
CD1,7.460621,0.2027512
CD1,7.48269,0.1579114
CD1,7.505074,0.2162753
CD1,7.526675,0.1705408
CD1,7.548819,0.1995189
CD1,7.5707,0.1668227
CD1,7.592612,0.1989887
CD1,7.614927,0.1945587
CD1,7.636643,0.2127952
CD1,7.659202,0.1420129
CD1,7.68117,0.1831178
CD1,7.702893,0.203314
CD1,7.723386,0.2104008
CD1,7.745698,0.1631834
CD1,7.769638,0.2264766
CD1,7.789914,0.2015354
CD1,7.811342,0.1408082
CD1,7.833367,0.1759346
CD1,7.856208,0.1846898
CD1,7.877369,0.1920634
CD1,7.899457,0.1541093
CD1,7.921344,0.1662559
CD1,7.944683,0.1096443
CD1,7.966228,0.1743719
CD1,7.986915,0.04362281
CD1,8.010266,0.1600752
CD1,8.031227,0.1446578
CD1,8.053262,0.1650205
CD1,8.074493,0.1025711
CD1,8.097513,0.1300092
CD1,8.120322,0.130173
CD1,8.142568,0.09048776
CD1,8.164853,0.1469902
CD1,8.18717,0.1415942
CD1,8.208691,0.2293867
CD1,8.231067,0.1117609
CD1,8.254722,0.137951
CD1,8.276562,0.08903163
CD1,8.2987,0.1361067
CD1,8.319845,0.1002867
CD1,8.341039,0.1168553
CD1,8.363141,0.1188705
CD1,8.385096,0.08880204
CD1,8.407053,0.07805699
CD1,8.42896,0.07257351
CD1,8.45087,0.1381892
CD1,8.472983,0.1339459
CD1,8.495221,0.1474763
CD1,8.517298,0.125029
CD1,8.539119,0.1916598
CD1,8.56116,0.1227232
CD1,8.583274,0.1830817
CD1,8.604877,0.1438173
CD1,8.627151,0.1636145
CD1,8.649342,0.1059969
CD1,8.671694,0.1168203
CD1,8.693537,0.1282354
CD1,8.715637,0.1229423
CD1,8.737459,0.1253448
CD1,8.759692,0.09156894
CD1,8.781298,0.163687
CD1,8.803451,0.08794655
CD1,8.825288,0.179722
CD1,8.847336,0.1182806
CD1,8.869211,0.1713822
CD1,8.891454,0.1345956
CD1,8.913598,0.1622324
CD1,8.935832,0.1077499
CD1,8.958183,0.1449417
CD1,8.980145,0.1422446
CD1,9.002851,0.09253773
CD1,9.025286,0.1619287
CD1,9.0477,0.07073998
CD1,9.069443,0.1170303
CD1,9.091932,0.09750636
CD1,9.1138,0.1375321
CD1,9.135463,0.08714295
CD1,9.158133,0.164764
CD1,9.17992,0.09096952
CD1,9.201677,0.1417578
CD1,9.223614,0.1678969
CD1,9.245095,0.1125685
CD1,9.267582,0.1552836
CD1,9.29093,0.1303927
CD1,9.313819,0.122647
CD1,9.33736,0.06897577
CD1,9.360348,0.1043057
CD1,9.382925,0.09352924
CD1,9.404739,0.1625321
CD1,9.42711,0.08217679
CD1,9.44954,0.1182869
CD1,9.472225,0.1116616
CD1,9.494267,0.1002473
CD1,9.516296,0.1107565
CD1,9.537873,0.1531962
CD1,9.560008,0.1533765
CD1,9.581564,0.143521
CD1,9.602151,0.09273915
CD1,9.624805,0.1369556
CD1,9.646868,0.1524249
CD1,9.6689,0.1145927
CD1,9.69187,0.09393416
CD1,9.714104,0.09570431
CD1,9.736049,0.1111844
CD1,9.759342,0.09657824
CD1,9.781339,0.1101736
CD1,9.803947,0.1003955
CD1,9.826373,0.1508973
CD1,9.848645,0.05050839
CD1,9.871293,0.08387539
CD1,9.893399,0.07928093
CD1,9.915201,0.1732369
CD1,9.937428,0.1358706
CD1,9.959121,0.146091
CD1,9.980827,0.09256601
CD1,10.00225,0.1234133
CD1,10.02428,0.1099658
CD1,10.04769,0.12553
CD1,10.07128,0.124425
CD1,10.09475,0.1179491
CD1,10.11643,0.06615302
CD1,10.13828,0.04401602
CD1,10.16009,0.1125015
CD1,10.18233,0.07988182
CD1,10.20368,0.1468828
CD1,10.22598,0.09582775
CD1,10.24837,0.1108275
CD1,10.27061,0.04249524
CD1,10.29188,0.1108242
CD1,10.3135,0.08759326
CD1,10.33669,0.1554116
CD1,10.35925,0.08912446
CD1,10.38241,0.06799751
CD1,10.40543,0.1212143
CD1,10.42819,0.06607197
CD1,10.45105,0.07970741
CD1,10.47414,0.07506859
CD1,10.49631,0.143354
CD1,10.51857,0.137569
CD1,10.54083,0.1217856
CD1,10.56332,0.1014941
CD1,10.5862,0.1753788
CD1,10.60865,0.1180765
CD1,10.63147,0.1154999
CD1,10.65397,0.114927
CD1,10.67671,0.1394224
CD1,10.69884,0.1017629
CD1,10.72079,0.1077583
CD1,10.74322,0.07222877
CD1,10.7666,0.1212224
CD1,10.78939,0.07386611
CD1,10.81127,0.00134355
CD1,10.83445,0.01571629
CD1,10.85648,0.04283893
CD1,10.87922,0.08345856
CD1,10.90163,0.05002125
CD1,10.92464,0.09835896
CD1,10.9473,0.0701988
CD1,10.97053,0.1012457
CD1,10.99225,0.05493443
CD1,11.01474,0.08938198
CD1,11.03778,0.06579238
CD1,11.05988,0.1426236
CD1,11.08259,0.07599872
CD1,11.10505,0.1015567
CD1,11.12724,0.08889426
CD1,11.14952,0.07491417
CD1,11.17269,0.03877821
CD1,11.19499,0.0461795
CD1,11.21728,0.04774451
CD1,11.24002,0.07076956
CD1,11.26244,0.14731
CD1,11.28503,0.09438101
CD1,11.30701,0.09669927
CD1,11.32922,0.0515183
CD1,11.35156,0.06609427
CD1,11.37437,0.06632259
CD1,11.39651,0.1107139
CD1,11.41899,0.08350046
CD1,11.44172,0.05224124
CD1,11.46405,0.0464943
CD1,11.48667,0.05761479
CD1,11.50921,0.0266058
CD1,11.53172,0.04921652
CD1,11.55396,0.05368622
CD1,11.57648,0.1114366
CD1,11.59964,0.07182464
CD1,11.62218,0.07771454
CD1,11.64506,0.0456501
CD1,11.66754,0.1429562
CD1,11.69025,0.105654
CD1,11.71291,0.1054505
CD1,11.73511,0.1195893
CD1,11.75836,0.1102933
CD1,11.78153,0.08400382
CD1,11.8046,0.07758091
CD1,11.82665,0.08124976
CD1,11.84914,0.05044299
CD1,11.87128,0.07302237
CD1,11.89496,-0.01253666
CD1,11.91826,0.04023545
CD1,11.94005,0.0119624
CD1,11.96245,0.07755546
CD1,11.98451,0.02348828
CD1,12.00721,0.05726352
CD1,12.02981,0.006738777
CD1,12.05237,0.03803938
CD1,12.07516,0.02773554
CD1,12.09787,0.02513439
CD1,12.11929,0.09875553
CD1,12.14044,0.09914761
CD1,12.16289,0.06087886
CD1,12.18581,0.03282864
CD1,12.2092,0.0612338
CD1,12.23132,0.06022693
CD1,12.25326,0.09512889
CD1,12.27476,0.08820131
CD1,12.29668,0.1203969
CD1,12.31894,0.108638
CD1,12.34139,0.09289316
CD1,12.36426,0.0347076
CD1,12.38758,0.1083858
CD1,12.41014,0.06333846
CD1,12.43187,0.1073716
CD1,12.45449,0.06141109
CD1,12.47709,0.0402954
CD1,12.5001,0.06519975
CD1,12.52321,0.05176839
CD1,12.54618,0.05651042
CD1,12.56923,0.04159787
CD1,12.59207,0.07346154
CD1,12.61445,0.0363515
CD1,12.63723,0.06671475
CD1,12.65989,0.05087557
CD1,12.68282,0.1470716
CD1,12.70537,0.1187635
CD1,12.72847,0.1172659
CD1,12.75077,0.05901147
CD1,12.77338,0.1264544
CD1,12.79618,0.1050075
CD1,12.81777,0.07784577
CD1,12.84099,0.06078713
CD1,12.86366,0.1066344
CD1,12.88578,0.08210497
CD1,12.90902,0.04542205
CD1,12.9327,0.0456763
CD1,12.95433,0.05292834
CD1,12.97675,0.06229474
CD1,12.9986,0.03566676
CD1,13.0202,0.06300623
CD1,13.04324,0.09104377
CD1,13.06558,0.1196342
CD1,13.08775,0.03978869
CD1,13.11061,0.07033262
CD1,13.13165,0.02111285
CD1,13.15355,0.0783834
CD1,13.17657,0.06862887
CD1,13.19942,0.1245832
CD1,13.22227,0.07068048
CD1,13.24485,0.1103345
CD1,13.26695,0.08271361
CD1,13.28949,0.1093055
CD1,13.31201,0.08731883
CD1,13.33512,0.07870573
CD1,13.35798,0.1082974
