test_id,p_kPa,void_ratio
CD1,168.0012,0.6817155
CD1,168.0196,0.6816751
CD1,168.1064,0.6816882
CD1,168.267,0.6816387
CD1,168.2464,0.6816308
CD1,168.3465,0.6816107
CD1,168.4343,0.681594
CD1,168.5265,0.681556
CD1,168.5884,0.6815567
CD1,168.636,0.6815442
CD1,168.6655,0.6815186
CD1,168.8394,0.6814906
CD1,168.8281,0.6814667
CD1,168.9728,0.681437
CD1,168.9579,0.6814593
CD1,169.0385,0.6814355
CD1,169.0518,0.681418
CD1,169.2231,0.6813821
CD1,169.252,0.6813642
CD1,169.3674,0.681379
CD1,169.4428,0.6813389
CD1,169.4855,0.6813309
CD1,169.5365,0.6813429
CD1,169.6083,0.6813144
CD1,169.6189,0.6812768
CD1,169.7279,0.6812434
CD1,169.8396,0.6812866
CD1,169.9413,0.6812336
CD1,169.9241,0.6811862
CD1,170.0837,0.6812288
CD1,170.1129,0.6811878
CD1,170.0815,0.6811897
CD1,170.3027,0.681176
CD1,170.2299,0.6811757
CD1,170.2837,0.6811072
CD1,170.389,0.68108
CD1,170.4606,0.6811055
CD1,170.4851,0.6810452
CD1,170.6116,0.6810807
CD1,170.6503,0.6810783
CD1,170.7109,0.6810889
CD1,170.7772,0.6809777
CD1,170.8073,0.6810262
CD1,170.9182,0.681026
CD1,170.9252,0.6810161
CD1,171.0712,0.681005
CD1,170.9879,0.6809403
CD1,171.0974,0.6809208
CD1,171.1326,0.6809603
CD1,171.2206,0.6808973
CD1,171.2761,0.6809435
CD1,171.3626,0.680874
CD1,171.447,0.6809123
CD1,171.4809,0.6808809
CD1,171.501,0.6809095
CD1,171.6054,0.6808617
CD1,171.6068,0.6807978
CD1,171.6757,0.6808322
CD1,171.6476,0.6807821
CD1,171.7194,0.6807904
CD1,171.8982,0.6807337
CD1,171.8656,0.680786
CD1,171.9262,0.6807336
CD1,171.978,0.6807078
CD1,172.065,0.680702
CD1,172.0558,0.6807527
CD1,172.0717,0.680666
CD1,172.1029,0.6806908
CD1,172.1508,0.6806625
CD1,172.2865,0.6806806
CD1,172.3866,0.6806768
CD1,172.401,0.6806738
CD1,172.4427,0.6806543
CD1,172.5682,0.6806219
CD1,172.5152,0.6806222
CD1,172.6063,0.6806183
CD1,172.6235,0.6805921
CD1,172.737,0.6805756
CD1,172.8294,0.6805654
CD1,172.8689,0.6805431
CD1,172.9295,0.6805792
CD1,172.9442,0.6805604
CD1,173.0618,0.6805388
CD1,173.0215,0.680522
CD1,173.1363,0.6805259
CD1,173.1469,0.6805039
CD1,173.2304,0.6805033
CD1,173.2513,0.6804924
CD1,173.325,0.680473
CD1,173.3043,0.6804453
CD1,173.4822,0.6804662
CD1,173.4355,0.6804505
CD1,173.5494,0.6804545
CD1,173.5144,0.6804259
CD1,173.624,0.6804233
CD1,173.6041,0.6804377
CD1,173.6974,0.6804024
CD1,173.6527,0.6803983
CD1,173.7345,0.6803803
CD1,173.7704,0.6803945
CD1,173.8063,0.6803542
CD1,173.8584,0.6803752
CD1,173.9103,0.6803394
CD1,173.9765,0.6803419
CD1,174.0004,0.6803431
CD1,174.1005,0.6803239
CD1,174.0773,0.6803123
CD1,174.2006,0.6803234
