test_id,p_kPa,void_ratio
CD2,246.8337,0.5253222
CD2,246.737,0.5254764
CD2,246.7991,0.5256366
CD2,246.7103,0.5258056
CD2,246.7001,0.5259512
CD2,246.7537,0.5261155
CD2,246.672,0.5262548
CD2,246.6602,0.5264018
CD2,246.6377,0.526541
CD2,246.6084,0.5266988
CD2,246.6115,0.5268748
CD2,246.5822,0.5270232
CD2,246.5657,0.5271787
CD2,246.5037,0.5273412
CD2,246.5255,0.5275038
CD2,246.4734,0.527651
CD2,246.4784,0.5277801
CD2,246.4071,0.5279309
CD2,246.4294,0.5281115
CD2,246.3492,0.5282686
CD2,246.3443,0.5284398
CD2,246.1904,0.5285853
CD2,246.163,0.5287118
CD2,246.0284,0.5288866
CD2,246.0694,0.5290575
CD2,245.9056,0.5292165
CD2,245.8951,0.5293972
CD2,245.817,0.5295442
CD2,245.8155,0.5296494
CD2,245.7718,0.5298169
CD2,245.8072,0.5299986
CD2,245.6636,0.5301458
CD2,245.7468,0.5303049
CD2,245.5761,0.53043
CD2,245.6203,0.5305843
CD2,245.59,0.5307466
CD2,245.561,0.5308991
CD2,245.4386,0.5310339
CD2,245.4308,0.5312132
CD2,245.3438,0.5313388
CD2,245.3579,0.5315112
CD2,245.2196,0.5316443
CD2,245.2551,0.5318164
CD2,245.2522,0.5319607
CD2,245.2561,0.5320952
CD2,245.1111,0.532243
CD2,245.1054,0.532415
CD2,245.0203,0.5325547
CD2,244.9626,0.5326924
CD2,244.9455,0.5328571
CD2,245.0017,0.533016
CD2,244.8231,0.5331265
CD2,244.9678,0.5333206
CD2,244.8278,0.5334809
CD2,244.7604,0.5336326
CD2,244.6684,0.533751
CD2,244.6006,0.5338858
CD2,244.5866,0.5340443
CD2,244.5266,0.5341989
CD2,244.534,0.5343366
CD2,244.4285,0.5345026
CD2,244.4727,0.5346604
CD2,244.3463,0.534775
CD2,244.3491,0.5349413
CD2,244.2805,0.5350875
CD2,244.1991,0.5352307
CD2,244.1557,0.535359
CD2,244.0759,0.5355327
CD2,244.0113,0.5356172
CD2,243.9564,0.5358129
CD2,243.9591,0.5359417
CD2,243.9405,0.5361111
CD2,243.8289,0.536234
CD2,243.7914,0.5364204
CD2,243.6697,0.5365394
CD2,243.7524,0.5366969
CD2,243.6282,0.5367743
CD2,243.5425,0.5369621
CD2,243.4969,0.5371281
CD2,243.5817,0.5372766
CD2,243.4452,0.5373991
CD2,243.4361,0.537584
CD2,243.2786,0.5376918
CD2,243.1912,0.5378403
CD2,243.0968,0.5379686
CD2,243.1143,0.5380865
CD2,243.1079,0.5382132
CD2,243.0393,0.5383997
CD2,243.0471,0.5385286
CD2,242.9429,0.5386996
CD2,242.9298,0.5388188
CD2,242.9181,0.5389442
CD2,242.8202,0.5390876
CD2,242.8198,0.5392418
CD2,242.7061,0.5393859
CD2,242.5473,0.5395167
CD2,242.6077,0.5396671
CD2,242.5648,0.5397836
CD2,242.5824,0.5399235
CD2,242.4306,0.5400705
CD2,242.4429,0.5401924
CD2,242.3324,0.5403543
CD2,242.3117,0.5405103
CD2,242.2517,0.5406502
CD2,242.236,0.5407916
CD2,242.1028,0.5409276
CD2,242.1671,0.5410379
CD2,242.0115,0.5411896
CD2,242.0287,0.5413287
CD2,241.896,0.5414604
CD2,241.8336,0.5415828
CD2,241.76,0.5417249
CD2,241.7356,0.541857
CD2,241.6319,0.5420127
CD2,241.5285,0.5421369
CD2,241.4745,0.5422764
CD2,241.5142,0.5424176
CD2,241.4325,0.5425305
CD2,241.4603,0.5426867
CD2,241.3194,0.5428306
CD2,241.3008,0.5429617
CD2,241.2483,0.5430719
CD2,241.3046,0.5432273
CD2,241.1572,0.5433453
CD2,241.1331,0.5435183
CD2,241.0332,0.5436621
CD2,241.0268,0.5438014
CD2,240.8309,0.5439405
CD2,240.7933,0.5440415
CD2,240.6655,0.544181
CD2,240.7814,0.5443003
CD2,240.5793,0.5444448
CD2,240.5078,0.5445757
CD2,240.3728,0.5447165
CD2,240.3311,0.5448586
CD2,240.2754,0.5449886
CD2,240.2705,0.5451142
CD2,240.1437,0.5452391
CD2,240.1009,0.5453927
CD2,239.9283,0.5455034
CD2,239.895,0.5456263
CD2,239.711,0.5457766
CD2,239.7584,0.5458771
CD2,239.685,0.5460044
CD2,239.6735,0.5461349
CD2,239.6268,0.5462469
CD2,239.5473,0.5463827
CD2,239.5024,0.546525
CD2,239.3725,0.5466709
CD2,239.3192,0.5467978
CD2,239.2208,0.5469081
CD2,239.2214,0.5470361
CD2,239.1437,0.5471575
CD2,239.0231,0.5472796
CD2,238.9991,0.5474259
CD2,239.0104,0.5475392
CD2,238.9387,0.5476503
CD2,238.8069,0.5477798
CD2,238.7055,0.5479204
CD2,238.556,0.5480464
CD2,238.5442,0.548153
CD2,238.4061,0.5482714
CD2,238.4595,0.5483969
CD2,238.3357,0.5485023
CD2,238.3049,0.5486278
CD2,238.1612,0.5487383
CD2,238.0736,0.5488857
CD2,237.9799,0.5489881
CD2,237.9,0.5490978
CD2,237.7974,0.5492505
CD2,237.6893,0.5493628
CD2,237.6337,0.5494809
CD2,237.5763,0.549635
CD2,237.6513,0.5497726
CD2,237.5965,0.5498748
CD2,237.4736,0.5500127
CD2,237.3921,0.5501441
CD2,237.3316,0.5502431
CD2,237.2866,0.5503627
CD2,237.1395,0.5504734
CD2,237.1697,0.5506029
CD2,237.1547,0.5507088
CD2,237.1125,0.5508779
CD2,236.9267,0.5509648
CD2,236.9001,0.5510904
CD2,236.8467,0.551189
CD2,236.8146,0.5512945
CD2,236.6778,0.5514357
CD2,236.4282,0.551558
CD2,236.4148,0.5516902
CD2,236.5988,0.5518097
CD2,236.4589,0.5519215
CD2,236.3746,0.5520188
CD2,236.3585,0.5521155
CD2,236.33,0.5522501
CD2,236.2823,0.5523695
CD2,236.1846,0.5524815
CD2,236.1738,0.5526437
CD2,236.0186,0.5527742
CD2,236.0302,0.552877
CD2,235.8482,0.5529672
CD2,235.8361,0.5530755
CD2,235.7479,0.5532119
CD2,235.651,0.5533158
CD2,235.5328,0.5534489
CD2,235.4958,0.5535631
CD2,235.4173,0.5536783
CD2,235.343,0.5537924
CD2,235.2556,0.5539066
CD2,235.3304,0.5540117
CD2,235.1022,0.5541282
CD2,235.0702,0.5542516
CD2,234.8865,0.5543677
CD2,234.8763,0.5544915
CD2,234.758,0.554603
CD2,234.7389,0.5546831
CD2,234.5855,0.5548124
CD2,234.6043,0.5549021
CD2,234.4988,0.5550198
CD2,234.4762,0.5549182
CD2,234.3436,0.5552451
CD2,234.3542,0.5553622
CD2,234.2335,0.5554491
CD2,234.2206,0.5555576
CD2,234.2058,0.5556821
CD2,234.1532,0.5558081
CD2,233.9857,0.5559155
CD2,233.8409,0.5560292
CD2,233.8344,0.5561341
CD2,233.7187,0.5562314
CD2,233.6958,0.5563341
CD2,233.585,0.5564529
CD2,233.3998,0.5565475
CD2,233.3038,0.556632
CD2,233.2368,0.5567638
CD2,233.1703,0.5568526
CD2,233.0554,0.5569706
CD2,232.9115,0.5570713
CD2,232.9648,0.557188
CD2,232.9903,0.5572795
CD2,232.7932,0.5573744
CD2,232.7497,0.5574748
CD2,232.6868,0.55759
CD2,232.6846,0.5576846
CD2,232.5354,0.5577889
CD2,232.4607,0.5579187
CD2,232.3114,0.5580208
CD2,232.3563,0.5581065
CD2,232.179,0.5581839
CD2,232.1171,0.5583073
CD2,232.0088,0.5583905
CD2,232.0391,0.5584979
CD2,231.8368,0.5585949
CD2,231.7374,0.5587146
CD2,231.6498,0.558825
CD2,231.6538,0.5589294
CD2,231.4988,0.5589979
CD2,231.5292,0.5590928
CD2,231.4689,0.5591958
CD2,231.4796,0.5592863
CD2,231.4479,0.5593798
CD2,231.3724,0.5595012
CD2,231.2,0.5596063
CD2,231.1178,0.5597156
CD2,230.8932,0.5598019
CD2,230.8611,0.5599124
CD2,230.7803,0.5599768
CD2,230.8339,0.5600799
CD2,230.7265,0.5601735
CD2,230.714,0.5602678
CD2,230.5494,0.5603702
CD2,230.5503,0.5604628
CD2,230.4219,0.560578
CD2,230.3768,0.5606647
CD2,230.1036,0.5607453
CD2,230.0587,0.5608457
CD2,229.9568,0.5609479
CD2,229.9954,0.5610185
CD2,229.9392,0.5611235
CD2,229.7977,0.5612035
CD2,229.7762,0.5613108
CD2,229.6906,0.5613923
CD2,229.5282,0.5614766
CD2,229.6992,0.5615769
CD2,229.5748,0.5616999
CD2,229.4584,0.5617765
CD2,229.2305,0.5618868
CD2,229.3164,0.5619528
CD2,229.2015,0.5620522
CD2,229.155,0.5621568
CD2,228.8915,0.5622513
CD2,228.873,0.5623262
CD2,228.8546,0.5624178
CD2,228.8734,0.562496
CD2,228.6783,0.5625807
CD2,228.5211,0.5626666
CD2,228.4421,0.5627707
CD2,228.4213,0.5628593
CD2,228.3118,0.562958
CD2,228.2687,0.5630313
CD2,228.1906,0.5631195
CD2,228.0247,0.5632303
CD2,228.043,0.5633129
CD2,227.9844,0.5633676
CD2,227.8621,0.5634592
CD2,227.8304,0.5635579
CD2,227.6315,0.5636354
CD2,227.629,0.5637314
CD2,227.4622,0.5638303
CD2,227.6067,0.5639047
CD2,227.5459,0.5640117
CD2,227.3812,0.5640815
CD2,227.2817,0.5641626
CD2,227.2039,0.5642535
CD2,227.1195,0.5643075
CD2,227.146,0.5643913
CD2,227.0696,0.5644616
CD2,226.9673,0.5645262
CD2,226.8649,0.5646709
CD2,226.7597,0.5647712
CD2,226.727,0.5648135
CD2,226.5437,0.564915
CD2,226.5215,0.5650034
CD2,226.4166,0.5650886
CD2,226.2497,0.565149
CD2,226.1439,0.5652405
CD2,226.248,0.565289
CD2,226.148,0.5653778
CD2,226.0311,0.5654378
CD2,225.8893,0.5655717
CD2,225.7803,0.565621
CD2,225.9567,0.5657097
CD2,225.7761,0.5657888
CD2,225.6732,0.5658518
CD2,225.4323,0.5659571
CD2,225.4386,0.5660182
CD2,225.3495,0.5660922
CD2,225.2103,0.5661397
CD2,225.0099,0.5662405
CD2,225.0936,0.5663371
CD2,225.05,0.5663673
CD2,225.1864,0.5664431
CD2,225.0669,0.5665604
CD2,225.0309,0.5666412
CD2,224.9211,0.5667207
CD2,224.772,0.5668074
CD2,224.6897,0.5668662
CD2,224.6434,0.5669239
CD2,224.4814,0.5669897
CD2,224.2803,0.5670885
CD2,224.3266,0.5671552
CD2,224.2917,0.5672236
CD2,224.2514,0.5672726
CD2,224.1055,0.5673668
CD2,224.0201,0.56742
CD2,224.0666,0.5674902
CD2,224.0975,0.567571
CD2,223.9374,0.5676472
CD2,223.7804,0.5677303
CD2,223.6526,0.567814
CD2,223.5812,0.5678717
CD2,223.5552,0.5679291
CD2,223.6435,0.5680191
CD2,223.4266,0.5680909
CD2,223.2149,0.5681577
CD2,223.3294,0.5682041
CD2,223.2383,0.5682919
CD2,223.2542,0.5683671
CD2,223.1639,0.5684376
CD2,223.0485,0.568506
CD2,223.0727,0.5685971
CD2,222.9675,0.5686547
CD2,222.8205,0.5687048
CD2,222.6532,0.5687754
CD2,222.5944,0.5688474
CD2,222.6549,0.5689147
CD2,222.5357,0.5689642
CD2,222.3744,0.5690601
CD2,222.2792,0.5691104
CD2,222.2009,0.5691906
CD2,222.3062,0.5692608
CD2,222.0166,0.569314
CD2,222.2105,0.5693758
CD2,222.0413,0.5694415
CD2,221.9375,0.5695348
CD2,221.6642,0.5695671
CD2,221.4907,0.569633
CD2,221.5416,0.5697071
CD2,221.5543,0.5697556
CD2,221.4178,0.5698254
CD2,221.4089,0.5698857
CD2,221.1763,0.5699541
CD2,221.0242,0.5700145
CD2,221.1256,0.5700714
CD2,221.0118,0.5701446
CD2,221.0222,0.570196
CD2,220.9401,0.5702725
CD2,221.0621,0.5703321
CD2,220.9382,0.570402
CD2,220.709,0.5704649
CD2,220.805,0.5705189
CD2,220.7221,0.5705529
CD2,220.6684,0.5706359
CD2,220.6241,0.5707091
CD2,220.6013,0.57079
CD2,220.5697,0.5708434
CD2,220.4475,0.5709124
CD2,220.5209,0.5709662
CD2,220.3984,0.5710197
CD2,220.417,0.5710871
CD2,220.1992,0.5711431
CD2,220.2498,0.5712101
CD2,220.0856,0.5712619
CD2,220.0467,0.5713214
CD2,219.9214,0.5713786
CD2,220.0205,0.5714455
CD2,219.9315,0.5715055
CD2,219.9975,0.5715681
CD2,219.846,0.5716094
CD2,219.8499,0.5716783
CD2,219.8229,0.5717462
CD2,219.7839,0.5718014
CD2,219.6065,0.5718537
CD2,219.6672,0.5719012
CD2,219.46,0.5719706
CD2,219.3882,0.5720458
CD2,219.2928,0.572074
CD2,219.2749,0.5721324
CD2,219.0194,0.5721942
CD2,219.1179,0.5722478
CD2,219.0943,0.5723034
CD2,218.9435,0.5723373
CD2,218.9442,0.5724088
CD2,218.9967,0.5724671
CD2,218.9733,0.572531
CD2,218.8255,0.5725931
CD2,218.7652,0.5726624
CD2,218.4999,0.5726966
CD2,218.6975,0.5727562
CD2,218.7692,0.5728159
CD2,218.8215,0.5728695
CD2,218.8342,0.5729318
CD2,218.5618,0.5729816
CD2,218.3572,0.5730411
CD2,218.4499,0.573096
CD2,218.457,0.5731354
CD2,218.2851,0.5731883
CD2,218.1914,0.5732462
CD2,218.0016,0.5732843
CD2,218.0948,0.5733326
CD2,218.0307,0.5734074
CD2,217.9075,0.5734511
CD2,217.854,0.5735063
CD2,217.8955,0.5735445
CD2,217.8519,0.5736043
CD2,217.8254,0.5736643
CD2,217.7263,0.5737422
CD2,217.7162,0.573799
CD2,217.6839,0.573849
CD2,217.5081,0.5739011
CD2,217.5567,0.5739398
CD2,217.5327,0.5739927
CD2,217.3855,0.5740368
CD2,217.4054,0.5741122
CD2,217.3028,0.5741245
CD2,217.2523,0.5741706
CD2,217.2848,0.5742283
CD2,217.0897,0.5742669
CD2,217.0284,0.574314
CD2,216.9619,0.5743843
CD2,217.0109,0.5744214
CD2,216.9263,0.5744862
CD2,216.8574,0.5745244
CD2,216.7559,0.5745813
CD2,216.8327,0.5746272
CD2,216.9467,0.5746756
CD2,216.8167,0.5747405
CD2,216.8731,0.5747976
CD2,216.6012,0.574839
CD2,216.7648,0.5748803
CD2,216.5719,0.5749487
CD2,216.5671,0.5749687
CD2,216.5427,0.5750204
CD2,216.3427,0.5750646
CD2,216.4098,0.5751053
CD2,216.3258,0.5751377
CD2,216.4019,0.5751834
CD2,216.4116,0.5752672
CD2,216.3935,0.57529
CD2,216.3283,0.5753637
CD2,216.2804,0.575399
CD2,216.114,0.5754466
CD2,216.2187,0.5754917
CD2,216.1036,0.5755467
CD2,216.1526,0.5755983
CD2,216.0766,0.5756579
CD2,216.0478,0.5757035
CD2,215.9126,0.5757476
CD2,216.0703,0.5757966
CD2,216.1466,0.5758648
CD2,215.9162,0.5758837
CD2,215.9939,0.5759363
CD2,215.9222,0.5759724
CD2,215.9052,0.5759875
CD2,215.8455,0.5760504
CD2,215.704,0.5760859
CD2,215.6522,0.5761762
CD2,215.4718,0.5761902
CD2,215.4602,0.5762379
CD2,215.4992,0.5762832
CD2,215.5089,0.5763305
CD2,215.2738,0.5763675
CD2,215.4546,0.5764207
CD2,215.3132,0.5764563
CD2,215.2709,0.5765168
CD2,215.2236,0.5765615
CD2,215.2676,0.576604
CD2,215.1867,0.57665
CD2,215.3,0.5767134
CD2,215.1367,0.5767405
CD2,215.1466,0.5768008
CD2,214.9497,0.5768391
CD2,214.8458,0.5768769
CD2,214.8518,0.576908
CD2,214.9224,0.5769587
CD2,214.9539,0.5770083
CD2,214.9005,0.5770637
CD2,214.7832,0.5770885
CD2,214.9465,0.5771172
CD2,214.8033,0.5771928
CD2,214.7908,0.5772198
CD2,214.7383,0.5772741
CD2,214.7691,0.5773284
CD2,214.7931,0.5773576
CD2,214.6588,0.5774303
CD2,214.5184,0.5774598
CD2,214.5841,0.5775131
CD2,214.6418,0.5775541
CD2,214.6264,0.5775892
CD2,214.4649,0.5776562
CD2,214.4306,0.5776919
CD2,214.3839,0.5777287
CD2,214.5563,0.5777559
CD2,214.4924,0.5778041
CD2,214.5534,0.5778523
CD2,214.4083,0.5779056
CD2,214.2977,0.5779424
CD2,214.12,0.5779752
CD2,214.1671,0.5780065
CD2,214.0683,0.5780455
CD2,214.1787,0.5781032
CD2,214.1054,0.5781581
CD2,214.3014,0.5781694
CD2,214.098,0.5782179
CD2,214.0869,0.5782977
CD2,213.92,0.5783416
CD2,214.0493,0.578358
CD2,213.8394,0.578411
CD2,213.9659,0.5784725
CD2,213.8223,0.5784982
CD2,213.77,0.5785553
CD2,213.8638,0.5785892
CD2,213.7926,0.5786411
CD2,213.8863,0.5786703
CD2,213.8067,0.5786845
CD2,213.6773,0.5787691
CD2,213.6907,0.5787979
CD2,213.424,0.5788182
CD2,213.4525,0.5788505
CD2,213.3744,0.5788999
CD2,213.2663,0.5789406
CD2,213.1531,0.5789712
CD2,213.3298,0.5790135
CD2,213.2186,0.5790667
CD2,213.2278,0.5790999
CD2,213.1939,0.5791287
CD2,213.2751,0.5791694
CD2,213.1823,0.5792233
CD2,213.1317,0.5792661
CD2,212.9845,0.5792701
CD2,213.0576,0.5793343
CD2,212.9849,0.5793642
CD2,212.9973,0.5794019
CD2,212.8606,0.57945
CD2,212.955,0.5794801
CD2,212.8758,0.5795431
CD2,212.7856,0.5795612
CD2,212.7986,0.5795984
CD2,212.7817,0.5796348
CD2,212.6502,0.5796643
CD2,212.7676,0.5797143
CD2,212.6245,0.5797328
CD2,212.6907,0.5798087
CD2,212.5372,0.5798529
CD2,212.7719,0.5798866
CD2,212.6286,0.5799099
CD2,212.6141,0.5799522
CD2,212.6248,0.5800173
CD2,212.5808,0.5800374
CD2,212.5681,0.5800835
CD2,212.6005,0.5801224
CD2,212.5349,0.5801608
CD2,212.6881,0.5801883
CD2,212.6787,0.5802247
CD2,212.5874,0.5802742
CD2,212.5441,0.5803073
CD2,212.5185,0.5803441
CD2,212.4625,0.5803879
CD2,212.3871,0.5804327
CD2,212.3628,0.5804655
CD2,212.3729,0.5805004
CD2,212.3441,0.580529
CD2,212.5297,0.5805767
CD2,212.4316,0.580616
CD2,212.3342,0.5806473
CD2,212.2533,0.5806997
CD2,212.2423,0.5807202
CD2,212.0865,0.5807726
CD2,212.2053,0.5808091
CD2,212.0626,0.580847
CD2,212.0773,0.5808685
CD2,212.0972,0.5809006
CD2,211.9937,0.5809345
CD2,211.927,0.580983
CD2,211.8589,0.5810069
CD2,211.8648,0.5810649
CD2,211.794,0.5810962
CD2,211.8171,0.5811296
CD2,211.7995,0.5811635
CD2,211.7235,0.5812088
CD2,211.8972,0.5812543
CD2,211.8672,0.5813035
CD2,211.7544,0.5813168
CD2,211.6825,0.581351
CD2,211.645,0.5813841
CD2,211.6293,0.581432
CD2,211.539,0.5814552
CD2,211.6309,0.5814985
CD2,211.443,0.5815292
CD2,211.4665,0.5815594
CD2,211.604,0.5815844
CD2,211.5065,0.5816322
CD2,211.5549,0.5816682
CD2,211.5553,0.5816942
CD2,211.6056,0.5817287
CD2,211.628,0.5817976
CD2,211.5783,0.5818277
CD2,211.5319,0.5818709
CD2,211.3177,0.5818864
CD2,211.343,0.5819322
CD2,211.2079,0.5819403
CD2,211.2029,0.5820071
CD2,211.1577,0.5820226
CD2,211.1642,0.5820644
CD2,211.0363,0.5820919
CD2,211.0242,0.5821228
CD2,211.2443,0.5821594
CD2,211.1755,0.5821768
CD2,211.047,0.5822258
CD2,211.0259,0.5822633
CD2,211.11,0.582274
CD2,211.0624,0.582323
CD2,210.9879,0.5823551
CD2,211.0805,0.582366
CD2,211.0383,0.5824172
CD2,210.9207,0.5824693
CD2,210.9159,0.58252
CD2,210.7617,0.5825468
CD2,210.78,0.5825608
CD2,210.7784,0.5826083
CD2,210.7779,0.5826474
CD2,210.8718,0.5826742
CD2,210.8814,0.5827061
CD2,210.7497,0.5827315
CD2,210.9363,0.5827725
CD2,210.7794,0.582847
CD2,210.8262,0.582849
CD2,210.7822,0.5829026
CD2,210.7432,0.5829506
CD2,210.5764,0.5829631
CD2,210.6477,0.583019
CD2,210.618,0.5830165
CD2,210.7327,0.5830347
CD2,210.6197,0.5830562
CD2,210.6653,0.5830806
CD2,210.6996,0.583148
CD2,210.6209,0.5831594
CD2,210.5855,0.5832077
CD2,210.6353,0.5832091
CD2,210.7904,0.5832639
CD2,210.6735,0.5832928
CD2,210.5349,0.5833552
CD2,210.3969,0.5833671
CD2,210.4006,0.5834075
CD2,210.3579,0.5834442
CD2,210.4122,0.583463
CD2,210.4623,0.5835108
CD2,210.3914,0.5835584
CD2,210.1917,0.583605
CD2,210.4339,0.583609
CD2,210.2867,0.583654
CD2,210.2488,0.5836746
CD2,210.1986,0.5837222
CD2,210.1845,0.5837447
CD2,210.3141,0.583779
CD2,210.1911,0.583836
CD2,210.113,0.5838724
CD2,210.1172,0.5838587
CD2,209.9424,0.583893
CD2,210.0355,0.5839159
CD2,210.0739,0.5839364
CD2,210.0546,0.583969
CD2,210.0386,0.5840007
CD2,210.0295,0.5840596
CD2,210.0189,0.5840878
CD2,210.2185,0.584072
CD2,210.0838,0.5841208
CD2,210.1485,0.5841376
CD2,210.1615,0.5841916
CD2,210.2287,0.5842282
CD2,210.1227,0.5842402
CD2,210.047,0.5843002
CD2,210.048,0.5843485
CD2,210.079,0.5843738
CD2,210.0885,0.5844028
CD2,210.1146,0.5844418
CD2,210.0376,0.5844963
CD2,209.8142,0.5845226
CD2,209.8688,0.5845308
CD2,209.9202,0.5845715
CD2,209.9431,0.5846113
CD2,209.9192,0.5846453
CD2,209.7815,0.5846885
CD2,209.8538,0.5847016
CD2,209.831,0.5847468
CD2,209.8553,0.58479
CD2,209.738,0.5848083
CD2,209.7384,0.5848314
CD2,209.7533,0.5848589
CD2,209.8487,0.5848877
CD2,209.7895,0.584926
CD2,209.8607,0.5849618
CD2,209.7678,0.5849898
CD2,209.6987,0.5850092
CD2,209.7569,0.5850467
CD2,209.8727,0.585066
CD2,209.6634,0.5851099
CD2,209.7971,0.5851353
CD2,209.632,0.5851638
CD2,209.6932,0.5852003
CD2,209.5758,0.5852453
CD2,209.449,0.5852817
CD2,209.3889,0.5853019
CD2,209.5703,0.5853354
CD2,209.4525,0.58537
CD2,209.456,0.5853763
CD2,209.4694,0.5854257
CD2,209.4744,0.5854564
CD2,209.4134,0.5854947
CD2,209.4822,0.5855258
CD2,209.5014,0.5855629
CD2,209.4916,0.5855798
CD2,209.4407,0.5856348
CD2,209.4994,0.585671
CD2,209.6156,0.5856707
CD2,209.5485,0.5857062
CD2,209.5144,0.5857386
CD2,209.5489,0.5857777
CD2,209.7166,0.5858174
CD2,209.4362,0.5858444
CD2,209.5787,0.5858806
CD2,209.5254,0.5858896
CD2,209.5276,0.5859183
CD2,209.4931,0.5859519
CD2,209.6377,0.585989
CD2,209.5668,0.586022
CD2,209.4903,0.5860614
CD2,209.2689,0.5860954
CD2,209.3362,0.5861298
CD2,209.3768,0.5861479
CD2,209.4584,0.5861877
CD2,209.355,0.5862296
CD2,209.2162,0.5862497
CD2,209.128,0.5862986
CD2,209.1738,0.5863238
CD2,209.0253,0.5863342
CD2,209.2038,0.586401
CD2,209.0989,0.5864265
CD2,209.1747,0.586449
CD2,209.149,0.5864989
CD2,209.0329,0.5865153
CD2,208.899,0.5865474
CD2,209.0621,0.5865826
CD2,208.9574,0.5866272
CD2,208.9407,0.5866461
CD2,208.8394,0.5866671
CD2,208.8721,0.5867071
CD2,208.8405,0.5867203
CD2,208.9108,0.586766
CD2,208.889,0.5867991
CD2,208.9885,0.5868022
CD2,208.8983,0.5868407
CD2,209.0348,0.5868524
CD2,208.9876,0.5868914
CD2,208.8721,0.5869319
CD2,208.8153,0.5869453
CD2,208.7092,0.5869786
CD2,208.7869,0.5870176
CD2,208.8915,0.5870343
CD2,208.8897,0.5870739
CD2,208.8472,0.5871134
CD2,208.7164,0.5871348
CD2,208.7131,0.5871546
CD2,208.6183,0.5872014
CD2,208.726,0.5872299
CD2,208.6355,0.5872629
CD2,208.7164,0.5872803
CD2,208.6887,0.5873362
CD2,208.6436,0.5873586
CD2,208.6708,0.5873948
CD2,208.5941,0.58743
CD2,208.5781,0.5874838
CD2,208.6475,0.5875057
CD2,208.5171,0.587527
CD2,208.5497,0.5875673
CD2,208.5807,0.587607
CD2,208.5423,0.5876142
CD2,208.4531,0.5876256
CD2,208.4534,0.5876686
CD2,208.4707,0.5876951
CD2,208.4341,0.5877187
CD2,208.4028,0.5877393
CD2,208.3146,0.587804
CD2,208.4282,0.5878178
CD2,208.3898,0.5878471
CD2,208.4647,0.5878965
CD2,208.3119,0.5878883
CD2,208.3281,0.5879216
CD2,208.232,0.5879604
CD2,208.3077,0.587991
CD2,208.278,0.5880144
CD2,208.2521,0.5880399
CD2,208.2015,0.5880635
CD2,208.351,0.588095
CD2,208.2672,0.5881308
CD2,208.3393,0.5881658
CD2,208.1966,0.5881839
CD2,208.2419,0.58822
CD2,208.1016,0.588249
CD2,208.1272,0.5882808
CD2,208.0459,0.5882963
CD2,208.1352,0.5883376
CD2,208.0414,0.5883679
CD2,207.8979,0.5884001
CD2,207.8695,0.5884164
CD2,208.1,0.5884606
CD2,208.0882,0.5884881
CD2,208.1242,0.588505
CD2,207.9833,0.5885336
CD2,207.8967,0.5885581
CD2,207.7931,0.5885724
CD2,207.8374,0.5885877
CD2,207.7121,0.5886343
CD2,207.8815,0.5886467
CD2,207.8459,0.5887147
CD2,207.8586,0.5887155
CD2,207.8977,0.5887435
CD2,207.884,0.5887704
CD2,207.7138,0.5888009
CD2,207.6354,0.5888307
CD2,207.6306,0.5888622
CD2,207.6426,0.5888733
CD2,207.6251,0.5889231
CD2,207.7262,0.5889399
CD2,207.5598,0.5889683
CD2,207.58,0.589
CD2,207.6976,0.5890127
CD2,207.63,0.589061
CD2,207.68,0.5891054
CD2,207.6371,0.58911
CD2,207.5302,0.58914
CD2,207.5736,0.5891832
CD2,207.3077,0.5891963
CD2,207.449,0.5892239
CD2,207.4469,0.589264
CD2,207.4965,0.5892897
CD2,207.4158,0.5893146
CD2,207.5906,0.5893368
CD2,207.4463,0.5893719
CD2,207.4892,0.5894032
CD2,207.53,0.5894286
CD2,207.5777,0.5894445
CD2,207.5439,0.5894732
CD2,207.4731,0.5894903
CD2,207.2961,0.5895185
CD2,207.4833,0.5895529
CD2,207.3729,0.5895924
CD2,207.4507,0.5895996
CD2,207.2695,0.5896449
CD2,207.203,0.5896791
CD2,207.2577,0.5896985
CD2,207.2843,0.5897121
CD2,207.2987,0.5897622
CD2,207.2531,0.5897713
CD2,207.2519,0.5898006
CD2,207.2736,0.5898245
CD2,207.2406,0.5898667
CD2,207.2057,0.5898942
CD2,207.2856,0.5899063
CD2,207.2147,0.5899365
CD2,207.2429,0.589968
CD2,207.2979,0.5899895
CD2,207.2737,0.5900237
CD2,207.1771,0.5900562
CD2,207.1804,0.5901013
CD2,207.0343,0.5901208
CD2,207.0966,0.5901392
CD2,207.0075,0.5901642
CD2,207.0148,0.5901892
CD2,207.0895,0.5902408
CD2,207.1844,0.5902628
CD2,207.105,0.5903055
CD2,207.1127,0.5902927
CD2,207.0318,0.590337
CD2,207.0016,0.5903841
CD2,206.923,0.5904193
CD2,206.9218,0.5904312
CD2,207.0267,0.5904374
CD2,206.9949,0.590472
CD2,206.9747,0.5905083
CD2,206.8659,0.5905217
CD2,206.8644,0.5905629
CD2,206.871,0.5905857
CD2,206.8439,0.5906173
CD2,206.9523,0.5906199
CD2,206.8509,0.5906614
CD2,206.9426,0.590684
CD2,206.757,0.5907066
CD2,206.8467,0.5907274
CD2,206.8626,0.5907735
CD2,206.8868,0.5907934
CD2,206.9185,0.5908144
CD2,206.8588,0.5908601
CD2,206.8989,0.5908685
CD2,206.826,0.5908921
