CD1_eax_prc,CD1_evol_prc,CD1_q_kPa,CD2_eax_prc,CD2_evol_prc,CD2_q_kPa,CD3_eax_prc,CD3_evol_prc,CD3_q_kPa,CD4_eax_prc,CD4_evol_prc,CD4_q_kPa,CD5_eax_prc,CD5_evol_prc,CD5_q_kPa,CD6_eax_prc,CD6_evol_prc,CD6_q_kPa
2.044267E-01,1.262440E-01,7.424817E+01,2.060886E-01,1.018695E-01,1.487068E+02,1.855762E-01,1.100590E-01,7.938947E+01,2.005797E-01,8.540048E-02,8.494836E+01,1.477646E-01,8.521200E-02,1.693460E+02,1.735149E-01,9.529591E-02,3.222688E+02
2.239491E-01,1.321500E-01,7.670902E+01,2.202674E-01,1.058632E-01,1.545029E+02,1.969378E-01,1.170917E-01,8.246762E+01,2.126589E-01,8.905446E-02,8.806577E+01,1.564593E-01,9.043759E-02,1.791613E+02,1.797114E-01,1.016199E-01,3.370355E+02
2.298288E-01,1.372182E-01,7.920227E+01,2.325673E-01,1.071084E-01,1.595070E+02,2.093955E-01,1.222868E-01,8.515337E+01,2.209963E-01,8.952988E-02,9.086091E+01,1.691254E-01,9.597989E-02,1.889356E+02,1.949185E-01,1.043374E-01,3.534936E+02
2.433655E-01,1.438485E-01,8.121954E+01,2.432553E-01,1.095270E-01,1.649326E+02,2.199720E-01,1.282094E-01,8.815314E+01,2.308261E-01,9.296298E-02,9.385838E+01,1.797236E-01,1.003799E-01,1.983423E+02,2.028338E-01,1.077428E-01,3.680577E+02
2.552310E-01,1.492637E-01,8.342473E+01,2.547830E-01,1.114234E-01,1.700749E+02,2.314652E-01,1.343011E-01,9.063169E+01,2.385959E-01,9.462694E-02,9.633817E+01,1.911683E-01,1.052255E-01,2.077859E+02,2.097858E-01,1.157579E-01,3.857728E+02
2.736544E-01,1.565155E-01,8.600978E+01,2.682873E-01,1.138040E-01,1.751981E+02,2.452557E-01,1.373988E-01,9.338738E+01,2.550834E-01,9.408000E-02,9.927911E+01,2.017526E-01,1.084157E-01,2.165478E+02,2.198418E-01,1.182447E-01,3.990978E+02
2.868030E-01,1.638273E-01,8.798736E+01,2.792106E-01,1.146898E-01,1.798013E+02,2.576308E-01,1.446323E-01,9.576595E+01,2.733855E-01,9.494038E-02,1.016848E+02,2.092249E-01,1.139116E-01,2.253334E+02,2.316743E-01,1.231274E-01,4.141912E+02
2.940194E-01,1.688568E-01,8.992243E+01,2.921139E-01,1.167216E-01,1.846050E+02,2.703402E-01,1.477173E-01,9.840082E+01,2.789337E-01,9.722070E-02,1.042911E+02,2.249971E-01,1.185946E-01,2.340767E+02,2.399846E-01,1.275000E-01,4.291371E+02
3.060096E-01,1.765479E-01,9.179593E+01,3.038932E-01,1.172564E-01,1.889462E+02,2.814571E-01,1.526862E-01,1.005301E+02,2.914213E-01,9.751520E-02,1.064277E+02,2.384315E-01,1.235056E-01,2.423173E+02,2.525071E-01,1.542140E-01,4.440644E+02
3.195987E-01,1.815646E-01,9.387640E+01,3.145322E-01,1.181740E-01,1.936768E+02,2.929970E-01,1.597506E-01,1.029399E+02,3.070900E-01,9.695564E-02,1.089108E+02,2.440165E-01,1.260835E-01,2.507455E+02,2.634392E-01,1.355278E-01,4.591674E+02
3.370233E-01,1.889857E-01,9.564730E+01,3.277663E-01,1.188696E-01,1.977282E+02,3.062714E-01,1.631654E-01,1.050348E+02,3.212815E-01,9.683994E-02,1.110501E+02,2.575289E-01,1.293118E-01,2.587773E+02,2.715186E-01,1.397078E-01,4.734174E+02
3.453027E-01,1.932566E-01,9.752619E+01,3.402958E-01,1.179224E-01,2.019872E+02,3.181851E-01,1.658740E-01,1.074212E+02,3.324558E-01,9.585335E-02,1.133531E+02,2.640383E-01,1.302957E-01,2.664548E+02,2.765992E-01,1.442032E-01,4.876192E+02
3.590107E-01,1.984104E-01,9.929603E+01,3.522079E-01,1.179478E-01,2.059295E+02,3.316518E-01,1.705977E-01,1.092732E+02,3.424507E-01,9.461432E-02,1.152213E+02,2.841696E-01,1.338406E-01,2.741591E+02,2.904365E-01,1.485504E-01,5.014389E+02
3.722455E-01,2.031442E-01,1.007944E+02,3.653919E-01,1.198252E-01,2.099972E+02,3.428957E-01,1.746194E-01,1.113836E+02,3.585138E-01,9.398954E-02,1.172046E+02,2.960439E-01,1.342523E-01,2.816624E+02,3.022818E-01,1.521547E-01,5.161794E+02
3.834024E-01,2.077173E-01,1.024387E+02,3.762860E-01,1.190239E-01,2.136543E+02,3.555527E-01,1.797300E-01,1.134049E+02,3.694182E-01,9.173657E-02,1.194302E+02,3.096762E-01,1.398833E-01,2.886459E+02,3.088772E-01,1.555072E-01,5.301328E+02
3.956908E-01,2.122947E-01,1.041641E+02,3.916703E-01,1.183347E-01,2.174285E+02,3.686454E-01,1.838066E-01,1.155954E+02,3.837086E-01,9.035660E-02,1.211666E+02,3.100139E-01,1.412958E-01,2.958800E+02,3.211368E-01,1.590142E-01,5.445488E+02
