CD1_Ed_prc,CD1_Gnorm_fe_fp_MPa,CD2_Ed_prc,CD2_Gnorm_fe_fp_MPa,CD3_Ed_prc,CD3_Gnorm_fe_fp_MPa,CD4_Ed_prc,CD4_Gnorm_fe_fp_MPa,CD5_Ed_prc,CD5_Gnorm_fe_fp_MPa,CD6_Ed_prc,CD6_Gnorm_fe_fp_MPa,CU1_Ed_prc,CU1_Gnorm_fe_fp_MPa,CU2_Ed_prc,CU2_Gnorm_fe_fp_MPa,CU3_Ed_prc,CU3_Gnorm_fe_fp_MPa,CU4_Ed_prc,CU4_Gnorm_fe_fp_MPa,CU5_Ed_prc,CU5_Gnorm_fe_fp_MPa,CU6_Ed_prc,CU6_Gnorm_fe_fp_MPa,CU7_Ed_prc,CU7_Gnorm_fe_fp_MPa
2.216449E-01,7.031058E+00,2.423519E-01,9.418097E+00,1.999772E-01,6.729616E+00,2.240177E-01,6.462788E+00,1.509415E-01,1.289811E+01,2.024029E-01,1.575231E+01,2.943039E-01,2.769671E+00,2.933414E-01,1.120040E+00,2.555627E-01,4.325021E+00,2.574820E-01,4.348193E+00,3.214805E-01,1.693668E+00,1.519761E-01,1.796454E+01,2.448591E-01,2.045907E+00
2.387564E-01,6.635445E+00,2.589739E-01,8.505297E+00,2.162172E-01,6.568994E+00,2.434892E-01,6.382243E+00,1.668774E-01,1.278973E+01,2.150752E-01,1.580313E+01,3.160786E-01,2.437378E+00,3.156119E-01,9.383529E-01,2.767393E-01,4.265723E+00,2.811395E-01,4.030945E+00,3.456210E-01,1.509098E+00,1.593964E-01,1.779858E+01,2.631605E-01,1.678488E+00
2.557290E-01,5.584584E+00,2.767760E-01,8.244199E+00,2.321697E-01,5.914499E+00,2.625320E-01,6.188418E+00,1.825458E-01,1.292802E+01,2.275094E-01,1.581989E+01,3.381419E-01,2.212530E+00,3.378621E-01,7.474184E-01,2.961828E-01,3.595221E+00,3.056894E-01,3.796994E+00,3.683381E-01,1.319418E+00,1.665005E-01,1.530193E+01,2.829414E-01,1.119225E+00
2.751434E-01,5.474156E+00,2.945403E-01,7.738032E+00,2.491473E-01,5.793279E+00,2.810183E-01,5.771835E+00,1.976742E-01,1.196334E+01,2.400244E-01,1.559405E+01,3.598340E-01,1.971307E+00,3.605418E-01,5.296567E-01,3.173257E-01,3.211157E+00,3.307094E-01,3.563671E+00,3.917952E-01,1.155055E+00,1.742430E-01,1.458782E+01,3.041416E-01,1.071996E+00
2.943591E-01,5.363530E+00,3.127639E-01,7.082951E+00,2.658018E-01,5.394077E+00,3.000600E-01,5.145910E+00,2.135897E-01,1.280872E+01,2.524051E-01,1.466549E+01,3.812353E-01,1.727982E+00,3.833127E-01,3.764100E-01,3.388070E-01,3.121216E+00,3.560800E-01,3.262287E+00,4.140980E-01,1.033513E+00,1.818173E-01,1.208781E+01,3.242477E-01,7.571304E-01
3.128524E-01,5.245593E+00,3.319555E-01,7.066173E+00,2.831273E-01,5.055368E+00,3.204724E-01,5.097418E+00,2.280599E-01,1.071553E+01,2.655276E-01,1.352394E+01,4.033205E-01,1.538743E+00,4.056658E-01,2.369267E-01,3.589746E-01,2.770389E+00,3.831142E-01,3.227805E+00,4.377650E-01,8.742064E-01,1.905175E-01,1.153556E+01,3.453224E-01,6.283652E-01
3.311581E-01,5.056129E+00,3.505613E-01,6.620525E+00,3.008998E-01,4.960573E+00,3.403285E-01,4.687891E+00,2.448949E-01,1.020021E+01,2.796174E-01,1.385456E+01,4.257096E-01,1.408387E+00,4.282373E-01,1.466233E-01,3.794970E-01,2.282780E+00,4.106289E-01,3.170260E+00,4.612533E-01,7.596309E-01,1.992344E-01,1.020458E+01,3.676086E-01,6.382780E-01
3.491256E-01,4.708837E+00,3.696792E-01,6.512154E+00,3.183447E-01,4.715446E+00,3.609246E-01,4.644883E+00,2.620777E-01,1.050171E+01,2.932167E-01,1.329308E+01,4.473605E-01,1.264459E+00,4.506290E-01,4.506280E-02,4.018261E-01,2.190494E+00,4.382868E-01,3.115378E+00,4.845221E-01,6.780557E-01,2.083320E-01,9.941543E+00,3.905967E-01,5.191868E-01
3.680390E-01,4.384852E+00,3.884735E-01,5.871996E+00,3.359572E-01,4.516757E+00,3.808448E-01,4.368194E+00,2.782970E-01,1.010353E+01,3.072234E-01,1.272656E+01,4.683953E-01,1.047264E+00,4.732494E-01,1.394790E-03,4.230267E-01,1.900024E+00,4.662439E-01,3.086231E+00,5.073884E-01,6.550205E-01,2.173366E-01,9.048580E+00,4.141334E-01,3.119311E-01
3.873830E-01,4.703434E+00,4.085672E-01,5.658363E+00,3.537961E-01,4.296726E+00,4.010905E-01,4.186595E+00,2.947627E-01,9.887050E+00,3.216341E-01,1.270438E+01,4.910274E-01,9.198503E-01,4.956473E-01,-1.182484E-01,4.451009E-01,1.657775E+00,4.947483E-01,2.881881E+00,5.306237E-01,4.441051E-01,2.266839E-01,8.646393E+00,4.384466E-01,3.179715E-01
4.048740E-01,4.202318E+00,4.286605E-01,5.503386E+00,3.719803E-01,4.094005E+00,4.214474E-01,3.938087E+00,3.110947E-01,8.838362E+00,3.359570E-01,1.272568E+01,5.139451E-01,8.872921E-01,5.181955E-01,-1.191714E-01,4.676369E-01,1.461856E+00,5.238908E-01,2.983304E+00,5.534635E-01,4.665438E-01,2.358199E-01,8.674781E+00,4.640604E-01,2.438263E-01
4.237160E-01,4.070062E+00,4.487571E-01,5.196766E+00,3.903665E-01,3.882947E+00,4.421904E-01,3.532244E+00,3.288350E-01,8.382675E+00,3.499485E-01,1.211121E+01,5.359629E-01,6.864535E-01,5.407488E-01,-2.375927E-01,4.903142E-01,1.394449E+00,5.529422E-01,2.986351E+00,5.769667E-01,3.278825E-01,2.443923E-01,6.984881E+00,4.904767E-01,1.517691E-01
