test_id,eax_prc,evol_prc,q_kPa
CD1,1.988266,0.5851144,187.9875
CD1,1.993196,0.5865073,188.3982
CD1,2.009151,0.5877438,188.7102
CD1,2.021405,0.591419,188.9973
CD1,2.035446,0.5921519,189.2095
CD1,2.047599,0.5931526,189.5805
CD1,2.061502,0.5936177,189.8116
CD1,2.074801,0.5977107,190.3056
CD1,2.086505,0.5983,190.6486
CD1,2.101411,0.6009616,190.6517
CD1,2.112604,0.6026353,191.0169
CD1,2.123014,0.6038525,191.2864
CD1,2.130832,0.605329,191.8147
CD1,2.143725,0.6057426,192.0357
CD1,2.160353,0.6079519,192.2099
CD1,2.177894,0.6114964,192.5756
CD1,2.192398,0.6124586,193.051
CD1,2.205273,0.6139372,193.2323
CD1,2.220744,0.6174281,193.6883
CD1,2.233093,0.617546,193.8289
CD1,2.244464,0.6188532,194.1191
CD1,2.257641,0.6200383,194.2354
CD1,2.272803,0.621189,194.8792
CD1,2.283421,0.6238442,195.2363
CD1,2.298141,0.6242492,195.4766
CD1,2.309406,0.6263364,195.5034
CD1,2.323404,0.6286765,195.913
CD1,2.333463,0.6281601,196.2878
CD1,2.349794,0.6302473,196.3274
CD1,2.361984,0.6320517,196.6493
CD1,2.375574,0.6327846,196.9769
CD1,2.388303,0.6346083,197.3432
CD1,2.400982,0.6355512,197.5169
CD1,2.412601,0.6356476,197.9746
CD1,2.427629,0.6375505,198.2264
CD1,2.439241,0.6384013,198.4599
CD1,2.452906,0.6392456,198.5835
CD1,2.466294,0.6411679,198.9676
CD1,2.480271,0.6426979,198.9483
CD1,2.493253,0.6448623,199.5523
CD1,2.505758,0.6453402,199.4888
CD1,2.517506,0.6475967,200.0057
CD1,2.53163,0.6478325,200.1037
CD1,2.543149,0.649069,200.4392
CD1,2.556743,0.6517691,200.4704
CD1,2.5696,0.6512334,200.8796
CD1,2.582981,0.6539935,201.1288
CD1,2.594902,0.6556479,201.329
CD1,2.609851,0.6545357,201.4689
CD1,2.621375,0.6570536,201.8467
CD1,2.633567,0.6569551,202.1115
CD1,2.64763,0.6584208,202.3476
CD1,2.660323,0.6599574,202.8606
CD1,2.674867,0.6609453,202.7734
CD1,2.688585,0.6620896,203.1633
CD1,2.69976,0.663489,203.411
CD1,2.713638,0.6650962,203.6198
CD1,2.724878,0.6662619,203.622
CD1,2.737357,0.6665362,204.0035
CD1,2.753828,0.6689235,204.0588
CD1,2.766516,0.668152,204.3192
CD1,2.769439,0.671075,204.8009
CD1,2.79361,0.6715443,204.7392
CD1,2.80869,0.6727294,205.0395
CD1,2.820129,0.6737173,205.303
CD1,2.82472,0.6759588,205.5794
CD1,2.839668,0.6759203,205.7653
CD1,2.856812,0.6766596,205.908
CD1,2.869865,0.6781704,205.9966
CD1,2.881232,0.6798248,206.5182
CD1,2.89378,0.681237,206.4844
CD1,2.906925,0.6829899,206.9183
CD1,2.920523,0.6816698,206.8737
CD1,2.933803,0.6830756,207.1156
CD1,2.945107,0.6841085,207.1554
CD1,2.957434,0.6862344,207.6692
CD1,2.972258,0.6872865,207.7559
CD1,2.983152,0.6864165,208.1021
CD1,2.997844,0.6887845,208.3285
CD1,3.011953,0.6892559,208.4566
CD1,3.022546,0.6885488,208.6095
CD1,3.035688,0.6902288,208.8248
CD1,3.042854,0.6924532,208.8566
CD1,3.062633,0.6944226,209.1838
CD1,3.074067,0.6918703,209.5189
CD1,3.085615,0.6950034,209.824
CD1,3.102841,0.6978021,209.7724
CD1,3.114471,0.6952841,210.251
CD1,3.120172,0.6977056,210.3387
CD1,3.130587,0.6975942,210.2444
CD1,3.150853,0.6984042,210.9081
CD1,3.166359,0.6984235,210.6897
CD1,3.179651,0.7024716,210.8511
CD1,3.190527,0.7040745,211.167
CD1,3.201132,0.7025702,211.3817
CD1,3.218486,0.7061339,211.4552
CD1,3.225831,0.7040359,211.8349
CD1,3.238414,0.7041731,211.951
CD1,3.256239,0.7035516,212.1326
CD1,3.270211,0.7101177,212.3317
CD1,3.272295,0.7072525,212.422
CD1,3.292276,0.7072654,212.7546
CD1,3.305745,0.7078483,212.7755
CD1,3.316433,0.7085083,213.2136
CD1,3.332193,0.7123271,212.9637
CD1,3.345714,0.7134778,213.2922
CD1,3.350968,0.7111441,213.3978
CD1,3.368485,0.7148643,213.6617
CD1,3.377081,0.7121385,213.8283
CD1,3.398037,0.7162444,214.0879
CD1,3.408131,0.7139814,214.3411
CD1,3.419548,0.7158329,214.4428
CD1,3.43391,0.7141464,214.5031
CD1,3.445614,0.7169709,214.8163
CD1,3.462654,0.7207446,214.8205
CD1,3.470451,0.7187109,215.0272
CD1,3.482551,0.7216725,214.9429
CD1,3.49389,0.7211818,215.1583
CD1,3.507835,0.7245312,215.6947
CD1,3.525583,0.7214432,215.5969
CD1,3.534666,0.7245377,215.7787
CD1,3.546468,0.7260613,215.9341
CD1,3.560168,0.726402,216.1949
CD1,3.57688,0.7234062,216.1673
CD1,3.589378,0.7285321,216.2151
CD1,3.591118,0.7270621,216.3086
CD1,3.616157,0.7287357,216.4525
CD1,3.622602,0.7276642,216.8596
CD1,3.638311,0.7278914,217.1598
CD1,3.650372,0.7280693,217.203
CD1,3.658876,0.72922,217.3282
CD1,3.674077,0.7311358,217.7045
CD1,3.686629,0.7311166,217.5456
CD1,3.70103,0.7313458,217.8188
CD1,3.713869,0.7328952,217.8706
CD1,3.725756,0.7338703,218.211
CD1,3.737809,0.7344703,218.4881
CD1,3.750364,0.7357861,218.6068
CD1,3.763805,0.7336538,218.7884
CD1,3.777502,0.734766,218.8327
CD1,3.786382,0.7360411,219.1854
CD1,3.803199,0.7370354,219.0646
CD1,3.814331,0.7368061,219.4088
CD1,3.830951,0.7381069,219.4408
CD1,3.843495,0.7381412,219.6912
CD1,3.854194,0.7387819,219.7538
CD1,3.870412,0.7399263,219.975
CD1,3.877308,0.7415678,219.9129
CD1,3.891368,0.7403313,220.4465
CD1,3.904805,0.7412592,220.3066
CD1,3.916311,0.7410235,220.6483
CD1,3.93138,0.7427121,220.5433
CD1,3.941596,0.7428621,220.8721
CD1,3.958863,0.7420114,220.8122
CD1,3.967972,0.7440986,221.0923
CD1,3.981213,0.7443408,220.9581
CD1,3.992345,0.7454058,221.2035
CD1,4.008518,0.7445679,221.3112
CD1,4.017981,0.7469488,221.419
CD1,4.03217,0.7457058,221.5753
CD1,4.045408,0.7478188,221.731
CD1,4.058794,0.7476752,221.9295
CD1,4.070528,0.7476024,222.0013
CD1,4.084122,0.7487338,222.3014
CD1,4.096965,0.7494217,222.232
CD1,4.111013,0.7487681,222.6018
CD1,4.121922,0.7502511,222.5807
CD1,4.141267,0.7510097,222.9074
CD1,4.143344,0.7518026,222.879
CD1,4.156351,0.7523126,223.1871
CD1,4.179252,0.7506111,223.0069
CD1,4.191295,0.752214,223.4114
CD1,4.191658,0.7535212,223.3908
CD1,4.208979,0.7537055,223.5818
CD1,4.224393,0.7549013,223.8847
CD1,4.239289,0.7545284,223.853
CD1,4.251413,0.7539991,224.1089
CD1,4.259459,0.755092,224.1593
CD1,4.27196,0.7543591,224.4294
CD1,4.285234,0.7558313,224.4098
CD1,4.300132,0.7565964,224.7811
CD1,4.313958,0.7559406,224.6371
CD1,4.325716,0.7567335,225.0985
