test_id,eax_prc,evol_prc,q_kPa
CD1,21.37555,0.3285268,245.8788
CD1,21.3863,0.3299069,245.6488
CD1,21.39979,0.3302455,245.8553
CD1,21.41544,0.328919,246.003
CD1,21.42608,0.3292319,245.8853
CD1,21.44145,0.3271339,246.0893
CD1,21.45482,0.328304,245.9564
CD1,21.46887,0.3285268,245.9504
CD1,21.48012,0.3265381,246.0139
CD1,21.49537,0.3267996,245.9387
CD1,21.50649,0.3277618,245.7252
CD1,21.51854,0.3265189,245.4718
CD1,21.53442,0.3271918,245.707
CD1,21.54931,0.327421,245.7374
CD1,21.56102,0.3257795,245.7646
CD1,21.57388,0.3258245,245.6377
CD1,21.58707,0.3259231,245.9562
CD1,21.6005,0.3238637,245.8177
CD1,21.61369,0.325426,246.0045
CD1,21.62736,0.3238037,245.9818
CD1,21.64115,0.3237652,245.8885
CD1,21.6541,0.3235766,245.7522
CD1,21.66611,0.3244509,245.6362
CD1,21.68071,0.3239023,245.718
CD1,21.6932,0.3235894,245.4384
CD1,21.70627,0.3232101,245.6028
CD1,21.71998,0.3220851,245.6365
CD1,21.7323,0.3205871,245.8041
CD1,21.74671,0.3219201,245.5976
CD1,21.75747,0.3209793,245.6465
CD1,21.77224,0.3214036,245.504
CD1,21.78467,0.320495,245.5106
CD1,21.79804,0.3196721,245.5157
CD1,21.81019,0.3203707,245.68
CD1,21.82804,0.3190764,245.6673
CD1,21.83838,0.318082,245.6939
CD1,21.85071,0.3185406,245.9885
CD1,21.86541,0.3178463,245.8366
CD1,21.87843,0.3180027,245.8694
CD1,21.89227,0.3178999,245.7286
CD1,21.9064,0.3171734,245.5843
CD1,21.91824,0.3173041,245.4341
CD1,21.93365,0.3162648,245.3886
CD1,21.94612,0.3176641,245.1157
CD1,21.95773,0.3163484,245.3958
CD1,21.97156,0.3164019,245.2354
CD1,21.98451,0.3155769,244.8931
CD1,22.00007,0.3170684,245.047
CD1,22.01255,0.3144926,244.778
CD1,22.02015,0.3138518,245.1198
CD1,22.03462,0.3141968,245.0994
CD1,22.05091,0.3145826,244.7514
CD1,22.06159,0.3133482,244.8375
CD1,22.07516,0.3145247,245.1181
CD1,22.09134,0.3133611,245.095
CD1,22.10272,0.3119939,245.1418
CD1,22.11682,0.3114303,245.0766
CD1,22.13156,0.3110188,245.2631
CD1,22.14485,0.3118953,245.078
CD1,22.1552,0.310856,244.968
CD1,22.17248,0.3090773,244.9017
CD1,22.1809,0.3107445,244.9285
CD1,22.19459,0.3097888,244.8538
CD1,22.21232,0.311156,245.0836
CD1,22.22598,0.3109995,244.8757
CD1,22.22905,0.3098938,245.2492
CD1,22.24249,0.3092659,245.0538
CD1,22.26398,0.3070308,244.9669
CD1,22.28221,0.3088994,244.6446
CD1,22.29245,0.3068722,244.7192
CD1,22.30585,0.3071143,244.7305
CD1,22.3155,0.3065272,244.6642
CD1,22.32748,0.3060364,244.4191
CD1,22.34418,0.3064993,244.2756
CD1,22.35481,0.3044014,244.2448
CD1,22.36875,0.3044592,244.0376
CD1,22.38383,0.3054085,244.1323
CD1,22.39402,0.3064607,244.0542
CD1,22.4101,0.3047614,243.9224
CD1,22.42282,0.3057814,243.7226
CD1,22.43652,0.3037413,243.7422
CD1,22.44951,0.3051857,243.7796
CD1,22.46367,0.3017655,243.8063
CD1,22.47652,0.303452,243.8649
CD1,22.49061,0.3019477,243.9854
CD1,22.50449,0.3020334,243.6677
CD1,22.51548,0.3023141,243.6927
CD1,22.52775,0.302132,243.9509
CD1,22.54305,0.3011633,243.7691
CD1,22.55617,0.3009469,243.6672
CD1,22.5677,0.3014569,243.4288
CD1,22.5823,0.3006597,243.0437
CD1,22.59421,0.3007133,243.1983
CD1,22.60883,0.301039,243.2209
CD1,22.62125,0.2990718,243.2478
CD1,22.63716,0.2992668,243.4847
CD1,22.65118,0.2991554,243.4543
CD1,22.66307,0.2996333,243.6136
CD1,22.66926,0.2993718,243.7044
CD1,22.69139,0.2981096,243.5068
CD1,22.70017,0.2971153,243.524
CD1,22.71729,0.2970703,243.4165
CD1,22.72806,0.2982403,243.2412
CD1,22.73971,0.2984375,243.2093
CD1,22.75375,0.2974239,243.288
CD1,22.76626,0.2964017,243.2534
CD1,22.77996,0.2962131,243.0773
CD1,22.79157,0.2955466,243.2797
CD1,22.80646,0.296691,243.1852
CD1,22.81885,0.2959774,243.3677
CD1,22.83133,0.2956173,243.1808
CD1,22.84589,0.2954673,243.1305
CD1,22.85991,0.2939951,243.1529
CD1,22.8738,0.2945137,243.1932
CD1,22.88515,0.2934401,243.206
CD1,22.89798,0.2927008,243.0146
CD1,22.91356,0.2931058,243.174
CD1,22.9266,0.2920729,242.8614
CD1,22.94059,0.2919229,243.0192
CD1,22.95202,0.2924136,243.0243
CD1,22.96474,0.2918436,243.1128
CD1,22.97795,0.2915436,242.9815
CD1,22.99295,0.2906092,242.8513
CD1,23.00341,0.29221,242.8721
CD1,23.01786,0.2920729,242.7522
CD1,23.03157,0.2913743,242.9751
CD1,23.04365,0.2909028,242.6468
CD1,23.0561,0.2896921,242.8617
CD1,23.07094,0.2897649,242.4722
CD1,23.07957,0.2899149,242.6936
CD1,23.09712,0.2896792,242.3883
CD1,23.11114,0.289182,242.7385
CD1,23.12262,0.2893342,242.5789
CD1,23.13437,0.2877698,242.278
CD1,23.14906,0.2888027,242.2677
CD1,23.16147,0.2881963,242.1471
CD1,23.17299,0.2879263,242.097
CD1,23.18709,0.2868033,242.1581
CD1,23.19877,0.2876648,242.1632
CD1,23.21091,0.2864819,242.2825
CD1,23.21277,0.2853954,242.3168
CD1,23.21332,0.286469,242.3757
CD1,23.2135,0.2894178,242.3719
CD1,23.2163,0.2871484,242.1151
CD1,23.21599,0.2850954,242.2903
CD1,23.2163,0.2860897,242.5821
CD1,23.21566,0.2877312,242.3066
CD1,23.21528,0.2835118,242.489
CD1,23.2163,0.2857683,242.3505
CD2,0.0,0.0,-1.356251
CD2,0.005616522,0.006773821,8.883088
CD2,0.01335176,0.01230239,18.36988
CD2,0.0224195,0.01855401,27.59892
CD2,0.03247496,0.02474221,36.00912
CD2,0.04297187,0.03098748,44.55989
CD2,0.05106585,0.03814397,52.43517
CD2,0.06295583,0.04458798,60.63366
CD2,0.07306138,0.04996856,68.17368
CD2,0.08399507,0.05454998,76.12838
CD2,0.09441744,0.05897706,83.4731
CD2,0.1123537,0.06532593,90.72849
CD2,0.1235868,0.06806802,97.68458
CD2,0.1285883,0.07386721,104.6993
CD2,0.1408265,0.07724143,111.4041
CD2,0.1525639,0.08227529,118.3237
CD2,0.1592497,0.08721612,124.6216
CD2,0.1756718,0.08965588,130.9062
CD2,0.1860231,0.09477852,136.9412
CD2,0.1998222,0.09957136,143.1029
CD2,0.2060886,0.1018695,148.7068
CD2,0.2202674,0.1058632,154.5029
CD2,0.2325673,0.1071084,159.507
CD2,0.2432553,0.109527,164.9326
CD2,0.254783,0.1114234,170.0749
CD2,0.2682873,0.113804,175.1981
CD2,0.2792106,0.1146898,179.8013
CD2,0.2921139,0.1167216,184.605
CD2,0.3038932,0.1172564,188.9462
CD2,0.3145322,0.118174,193.6768
CD2,0.3277663,0.1188696,197.7282
CD2,0.3402958,0.1179224,201.9872
CD2,0.3522079,0.1179478,205.9295
CD2,0.3653919,0.1198252,209.9972
CD2,0.376286,0.1190239,213.6543
CD2,0.3916703,0.1183347,217.4285
CD2,0.4026902,0.118785,221.1078
CD2,0.4148783,0.1174763,224.5311
CD2,0.4270921,0.1162184,228.0632
CD2,0.4383846,0.1141655,231.2854
CD2,0.4518959,0.1115799,234.6412
CD2,0.4647643,0.1106179,237.6796
CD2,0.4775104,0.1084572,240.758
CD2,0.4892908,0.1061655,243.782
CD2,0.5018704,0.102398,246.776
CD2,0.5168458,0.1014762,249.5812
CD2,0.5285727,0.09899842,252.3644
CD2,0.5417602,0.09616542,255.071
CD2,0.5514313,0.09316541,257.8891
CD2,0.5632479,0.08870027,260.4699
CD2,0.5791296,0.08681019,263.095
CD2,0.5902764,0.0830237,265.579
CD2,0.605465,0.0808609,267.877
CD2,0.6183579,0.07786089,270.4047
CD2,0.6291064,0.07311879,272.7503
CD2,0.6405665,0.06992427,275.0737
CD2,0.6563352,0.06635131,277.1999
CD2,0.6688367,0.06265362,279.5074
CD2,0.6806835,0.06084177,281.5847
CD2,0.6947109,0.05762188,283.84
CD2,0.7060534,0.05390515,285.8179
CD2,0.7194005,0.04956898,287.9775
CD2,0.7307931,0.04558798,289.8038
CD2,0.744923,0.04047168,291.751
CD2,0.7588035,0.03646531,293.7151
CD2,0.7711559,0.03218199,295.6506
CD2,0.7834757,0.02695575,297.3834
CD2,0.7951455,0.02399379,299.3449
CD2,0.810708,0.01853498,301.1336
CD2,0.8228612,0.01394088,303.0296
CD2,0.8329376,0.009748467,304.5601
CD2,0.8496381,0.003676553,306.3024
CD2,0.855766,0.0009281234,308.0414
CD2,0.8791091,-0.005156476,309.813
CD2,0.8914045,-0.01192395,311.3255
CD2,0.9001053,-0.01597049,313.0309
CD2,0.9133895,-0.02216925,314.4075
CD2,0.9253156,-0.02756463,316.2554
CD2,0.9380116,-0.03306149,317.5952
CD2,0.9517826,-0.03857738,319.2922
CD2,0.9644623,-0.04405521,320.4918
CD2,0.9780832,-0.04873811,322.223
CD2,0.9911251,-0.0549855,323.471
CD2,1.004554,-0.05954578,325.1014
CD2,1.015652,-0.06656484,326.3345
CD2,1.029735,-0.07352048,327.8597
CD2,1.045105,-0.07740422,329.0058
CD2,1.058083,-0.08459877,330.6201
CD2,1.068906,-0.09117385,331.8141
CD2,1.081752,-0.09660517,333.3678
CD2,1.094321,-0.1025798,334.372
CD2,1.107204,-0.1085947,335.9052
CD2,1.121429,-0.1149689,337.1534
CD2,1.135185,-0.1228527,338.4593
CD2,1.149109,-0.1294848,339.7149
CD2,1.157991,-0.1364468,340.9178
CD2,1.174716,-0.1438676,341.9397
CD2,1.184513,-0.1495315,343.2561
CD2,1.200213,-0.1559374,344.3973
CD2,1.213572,-0.1622102,345.5598
CD2,1.225995,-0.1683519,346.6852
CD2,1.238419,-0.1765718,347.906
CD2,1.253365,-0.1835718,349.0183
CD2,1.266268,-0.1908425,350.0783
CD2,1.277437,-0.198314,351.2981
CD2,1.290678,-0.2056375,352.1468
CD2,1.305233,-0.2125339,353.4515
CD2,1.317014,-0.2198384,354.3157
CD2,1.330788,-0.2275805,355.5871
CD2,1.344207,-0.2350647,356.3076
CD2,1.356331,-0.241866,357.5767
CD2,1.367685,-0.2489358,358.4236
CD2,1.386453,-0.2566716,359.5753
CD2,1.396601,-0.26253,360.459
CD2,1.412774,-0.2709127,361.438
CD2,1.416582,-0.2772869,362.3392
CD2,1.434785,-0.2855385,363.3387
CD2,1.453769,-0.2949191,364.3843
CD2,1.462187,-0.3015386,365.1823
CD2,1.473565,-0.3104943,366.1474
CD2,1.492043,-0.3170503,366.9219
CD2,1.504967,-0.3248432,368.013
CD2,1.516786,-0.3318369,368.7118
CD2,1.526472,-0.340541,369.8902
CD2,1.541938,-0.3490653,370.4633
CD2,1.55301,-0.3573043,371.4253
CD2,1.568427,-0.3657948,372.2302
CD2,1.57871,-0.372427,373.2116
CD2,1.590795,-0.3794587,374.0068
CD2,1.604975,-0.387389,374.801
CD2,1.619646,-0.3958161,375.6644
CD2,1.630604,-0.4050931,376.3548
CD2,1.643667,-0.4126872,377.3184
CD2,1.657753,-0.4238564,377.8931
CD2,1.670707,-0.4308036,378.8971
CD2,1.683478,-0.4377909,379.4828
CD2,1.697363,-0.4470637,380.4699
CD2,1.710714,-0.4541145,381.0171
CD2,1.722423,-0.4635036,381.8575
CD2,1.735418,-0.4730512,382.2805
CD2,1.749729,-0.4811485,383.2992
CD2,1.762177,-0.488343,383.9468
CD2,1.776089,-0.4965883,384.886
CD2,1.787312,-0.5070598,385.3762
CD2,1.80072,-0.5158929,386.024
CD2,1.816466,-0.5237005,386.8464
CD2,1.827685,-0.5315124,387.4739
CD2,1.840663,-0.5412693,388.3373
CD2,1.852141,-0.5487979,388.7496
CD2,1.866899,-0.5584893,389.6538
CD2,1.879831,-0.5674513,390.0822
CD2,1.892112,-0.5766501,391.0188
CD2,1.906188,-0.5859672,391.4554
CD2,1.918473,-0.5942907,392.2798
CD2,1.931462,-0.6016079,392.6958
CD2,1.943923,-0.6103944,393.5402
CD2,1.957296,-0.6218406,393.9769
CD2,1.97096,-0.630014,394.8131
CD2,1.981915,-0.6389633,395.1007
CD2,1.997097,-0.6483904,395.9304
CD2,2.010079,-0.6573841,396.4354
CD2,2.02441,-0.6669846,397.0501
CD2,2.036201,-0.675676,397.5825
CD2,2.049712,-0.6849339,398.2366
CD2,2.061225,-0.6936887,398.6593
CD2,2.076841,-0.7026888,399.1683
CD2,2.088546,-0.7102893,399.854
CD2,2.101115,-0.719987,400.3494
CD2,2.114978,-0.7304331,401.0566
CD2,2.128959,-0.7379554,401.4514
CD2,2.141204,-0.7479956,402.2399
CD2,2.155152,-0.7571901,402.5052
CD2,2.168525,-0.7652663,403.3799
CD2,2.180081,-0.7746152,403.471
CD2,2.193012,-0.7850042,404.2583
CD2,2.206956,-0.7944567,404.5588
CD2,2.218065,-0.80285,405.2802
CD2,2.231928,-0.8122243,405.6018
CD2,2.245457,-0.8212772,406.2543
CD2,2.258584,-0.8318058,406.4653
CD2,2.272276,-0.8419559,407.3269
CD2,2.283753,-0.8525099,407.5654
CD2,2.298058,-0.8623302,408.2381
CD2,2.309579,-0.872047,408.4546
CD2,2.321749,-0.8785904,409.2103
CD2,2.338114,-0.8892796,409.5025
CD2,2.349119,-0.8975313,410.1585
CD2,2.361482,-0.9086096,410.2998
CD2,2.377833,-0.9183601,411.0327
CD2,2.383557,-0.9308253,411.2675
CD2,2.409046,-0.9408317,412.0855
CD2,2.415495,-0.9490453,412.2515
CD2,2.429244,-0.9582906,412.9328
CD2,2.440181,-0.9685295,413.2732
CD2,2.455726,-0.9788404,413.5424
CD2,2.468732,-0.986092,413.955
CD2,2.481372,-0.9955889,414.5541
CD2,2.493984,-1.005828,414.8258
CD2,2.504434,-1.015809,415.2966
CD2,2.517551,-1.027164,415.7504
CD2,2.532263,-1.035682,416.2342
CD2,2.544707,-1.043837,416.4325
CD2,2.556924,-1.055934,416.9823
CD2,2.569831,-1.065116,417.2441
CD2,2.583114,-1.076458,417.7249
CD2,2.597592,-1.085883,418.2666
CD2,2.608931,-1.095942,418.5163
CD2,2.620837,-1.10348,418.785
CD2,2.635421,-1.114285,419.1097
CD2,2.649315,-1.125533,419.5345
CD2,2.659823,-1.136404,419.8969
CD2,2.674574,-1.147662,420.2549
CD2,2.687566,-1.156353,420.5072
CD2,2.699936,-1.165953,420.8602
CD2,2.712754,-1.175385,421.1811
CD2,2.727069,-1.186135,421.7316
CD2,2.739439,-1.196846,421.827
CD2,2.751806,-1.205368,422.2343
CD2,2.765256,-1.216563,422.329
CD2,2.777853,-1.226383,422.8154
CD2,2.790412,-1.237764,423.0382
CD2,2.803688,-1.246757,423.6327
CD2,2.81641,-1.256197,423.6462
CD2,2.828559,-1.26732,424.1658
CD2,2.841797,-1.276533,424.2335
CD2,2.855763,-1.287476,424.8201
CD2,2.867439,-1.29814,424.8034
CD2,2.884189,-1.308753,425.162
CD2,2.889088,-1.318555,425.4714
CD2,2.903338,-1.327885,426.0474
CD2,2.919863,-1.338743,426.094
CD2,2.930591,-1.350375,426.6325
CD2,2.944976,-1.360938,426.5618
CD2,2.960556,-1.370834,427.0236
CD2,2.969485,-1.380255,427.3692
CD2,2.984432,-1.389572,427.7269
CD2,2.997204,-1.401339,427.8644
CD2,3.010491,-1.412359,428.2276
CD2,3.023515,-1.421688,428.2702
CD2,3.034442,-1.432018,428.8464
CD2,3.047914,-1.442826,428.8805
CD2,3.062165,-1.454794,429.3112
CD2,3.072305,-1.465124,429.3998
CD2,3.089297,-1.474898,429.6934
CD2,3.096178,-1.486093,429.9501
CD2,3.114442,-1.493499,430.3474
CD2,3.126765,-1.503771,430.2791
CD2,3.139068,-1.515752,430.7133
CD2,3.151154,-1.526611,430.7473
CD2,3.165102,-1.536947,431.2485
CD2,3.17749,-1.546463,431.2607
CD2,3.190734,-1.557387,431.6397
CD2,3.202756,-1.568188,431.5665
CD2,3.21562,-1.578632,431.9912
CD2,3.231189,-1.589582,431.9614
CD2,3.243389,-1.598653,432.3756
CD2,3.257632,-1.609563,432.3444
CD2,3.26729,-1.619905,432.7434
CD2,3.281621,-1.629461,432.8254
CD2,3.291436,-1.643081,433.3157
CD2,3.309134,-1.65503,433.2716
CD2,3.322535,-1.663618,433.4985
CD2,3.33049,-1.676599,433.5745
CD2,3.346767,-1.684722,434.1285
CD2,3.358501,-1.695743,434.1354
CD2,3.373017,-1.706865,434.4832
CD2,3.386038,-1.717466,434.258
CD2,3.395297,-1.725648,434.6344
CD2,3.411596,-1.737821,434.629
CD2,3.420187,-1.748739,435.0031
CD2,3.435067,-1.759371,435.105
CD2,3.449604,-1.770475,435.1348
CD2,3.462196,-1.779805,435.3135
CD2,3.472336,-1.791044,435.7439
CD2,3.487429,-1.801767,435.8272
CD2,3.498879,-1.811574,436.2576
CD2,3.51149,-1.820904,436.1863
CD2,3.52541,-1.831602,436.3153
CD2,3.539355,-1.84335,436.3913
CD2,3.549531,-1.855454,436.7066
CD2,3.56349,-1.865215,436.8193
CD2,3.57474,-1.876067,437.0215
CD2,3.588082,-1.88479,436.9197
CD2,3.602274,-1.895412,437.335
CD2,3.613052,-1.906598,437.3644
CD2,3.629375,-1.918044,437.4393
CD2,3.640469,-1.928794,436.7993
CD2,3.651563,-1.939543,436.1594
CD2,3.666236,-1.949717,437.208
CD2,3.680305,-1.959744,437.7866
CD2,3.690581,-1.971383,437.7592
CD2,3.704853,-1.983163,438.0147
CD2,3.715862,-1.992596,438.0252
CD2,3.7296,-2.002216,438.5317
CD2,3.742788,-2.01432,438.4785
CD2,3.757059,-2.023282,438.5754
CD2,3.768818,-2.035916,438.5769
CD2,3.781511,-2.047212,439.0906
CD2,3.793221,-2.056316,439.0477
CD2,3.807701,-2.067859,439.1366
CD2,3.820431,-2.077781,439.036
CD2,3.832168,-2.088176,439.3093
CD2,3.846451,-2.098352,439.3642
CD2,3.858405,-2.109081,439.638
CD2,3.871799,-2.119513,439.4908
CD2,3.882843,-2.129946,439.6526
CD2,3.896293,-2.142282,439.6775
CD2,3.910081,-2.154018,439.8159
CD2,3.922021,-2.162697,439.916
CD2,3.934587,-2.174168,439.9747
CD2,3.947426,-2.18475,439.83
CD2,3.963254,-2.194762,439.9074
CD2,3.973634,-2.204788,440.2433
CD2,3.986911,-2.216705,440.2646
CD2,3.995999,-2.228293,440.12
CD2,4.010559,-2.235991,440.3174
CD2,4.023675,-2.2473,440.1691
CD2,4.037684,-2.260088,440.4137
CD2,4.048789,-2.27205,440.3381
CD2,4.061749,-2.281993,440.5168
CD2,4.074681,-2.291019,440.5595
CD2,4.086901,-2.302239,440.7018
CD2,4.101478,-2.31193,440.7145
CD2,4.113202,-2.323304,440.8184
CD2,4.126488,-2.332421,440.6359
CD2,4.138536,-2.344074,440.7797
CD2,4.151826,-2.354571,440.7107
CD2,4.164732,-2.366533,441.0408
CD2,4.178066,-2.375869,440.8044
CD2,4.190574,-2.387146,441.0248
CD2,4.202205,-2.397419,440.8136
CD2,4.21471,-2.406922,441.1584
CD2,4.227286,-2.420356,440.906
CD2,4.241221,-2.430969,441.1224
CD2,4.254304,-2.440808,440.9658
CD2,4.268046,-2.449343,441.1485
CD2,4.279841,-2.460673,440.9512
CD2,4.292517,-2.472434,441.1655
CD2,4.306098,-2.48243,440.8735
CD2,4.318754,-2.493895,441.2625
CD2,4.330682,-2.505508,440.9941
CD2,4.343521,-2.513747,441.131
CD2,4.357218,-2.524599,441.0388
CD2,4.369094,-2.536392,441.149
CD2,4.382882,-2.546961,441.1054
CD2,4.394686,-2.558917,441.0314
CD2,4.407132,-2.568659,441.1427
CD2,4.42024,-2.578454,441.2216
CD2,4.433638,-2.588041,441.108
CD2,4.446747,-2.600712,441.0298
CD2,4.458705,-2.611494,441.1552
CD2,4.472124,-2.62194,441.0833
CD2,4.483249,-2.631701,441.3357
CD2,4.498214,-2.642469,441.1021
CD2,4.511153,-2.651974,441.2663
CD2,4.524231,-2.664987,441.0475
CD2,4.535043,-2.674568,441.2491
CD2,4.548728,-2.684575,441.1228
CD2,4.562083,-2.697034,441.2116
CD2,4.572704,-2.706163,440.9613
CD2,4.587299,-2.716797,440.8944
CD2,4.60017,-2.727901,440.8844
CD2,4.611937,-2.736964,440.946
CD2,4.624402,-2.746941,440.9479
CD2,4.638222,-2.759831,440.7941
CD2,4.649931,-2.770683,440.868
CD2,4.663215,-2.781129,440.6873
CD2,4.676655,-2.790645,440.6792
CD2,4.689463,-2.801013,440.5192
CD2,4.70154,-2.812802,440.4934
CD2,4.71423,-2.822091,440.2948
CD2,4.728495,-2.833119,440.45
CD2,4.740957,-2.844525,440.1785
CD2,4.753623,-2.853823,440.5012
CD2,4.764941,-2.864223,440.2111
CD2,4.778316,-2.875024,440.3973
CD2,4.792115,-2.886417,440.1309
CD2,4.804575,-2.896238,440.1002
CD2,4.816173,-2.907316,440.2611
CD2,4.829841,-2.916709,440.0159
CD2,4.841613,-2.92662,439.9806
CD2,4.855046,-2.936007,439.913
CD2,4.868155,-2.946648,439.8252
CD2,4.880834,-2.958519,439.8345
CD2,4.894403,-2.968526,439.7466
CD2,4.90653,-2.97901,439.697
CD2,4.918922,-2.989965,439.5112
CD2,4.931968,-3.000927,439.5765
CD2,4.944889,-3.010858,439.4202
CD2,4.957709,-3.01956,439.4353
CD2,4.970456,-3.029729,439.2213
CD2,4.982578,-3.041911,439.2881
CD2,4.995111,-3.052505,439.0477
CD2,5.008708,-3.064046,439.0329
CD2,5.021902,-3.073854,438.5712
CD2,5.035734,-3.082389,438.4891
CD2,5.047858,-3.094171,438.0853
CD2,5.060704,-3.1057,438.2081
CD2,5.073306,-3.116416,437.7169
CD2,5.085924,-3.128605,437.6854
CD2,5.099745,-3.138516,437.4511
CD2,5.11097,-3.145613,437.4466
CD2,5.124029,-3.156903,437.3154
CD2,5.139531,-3.169157,437.4215
CD2,5.15109,-3.179085,436.9907
CD2,5.162373,-3.189814,437.2405
CD2,5.176292,-3.198248,436.7282
CD2,5.18663,-3.208654,436.8609
CD2,5.201193,-3.219597,436.7701
CD2,5.216215,-3.229876,436.683
CD2,5.229853,-3.238967,436.3159
CD2,5.237765,-3.251058,436.2924
CD2,5.256481,-3.259529,436.0315
CD2,5.262182,-3.271155,436.0738
CD2,5.277442,-3.28013,435.6587
CD2,5.294647,-3.29173,435.7654
CD2,5.303959,-3.301466,435.7567
CD2,5.316635,-3.310532,435.7682
CD2,5.329919,-3.3205,435.3334
CD2,5.34295,-3.332094,435.3163
CD2,5.356966,-3.341519,435.061
CD2,5.370484,-3.350805,434.8879
CD2,5.379445,-3.361908,434.8364
CD2,5.394232,-3.372625,435.005
CD2,5.406815,-3.380071,434.4694
CD2,5.421631,-3.393162,434.9033
CD2,5.43116,-3.403974,434.4833
CD2,5.443485,-3.4142,434.2813
CD2,5.459018,-3.422188,434.0051
CD2,5.471911,-3.431272,433.8017
CD2,5.483978,-3.441964,433.7597
CD2,5.496924,-3.452384,433.5799
CD2,5.510723,-3.461674,433.6019
CD2,5.525543,-3.472869,433.2855
CD2,5.532676,-3.483507,433.418
CD2,5.549223,-3.491237,433.0389
CD2,5.557438,-3.50245,433.0473
CD2,5.572396,-3.512309,432.8416
CD2,5.591001,-3.521962,432.5974
CD2,5.604117,-3.530613,432.4672
CD2,5.614041,-3.542324,432.2276
CD2,5.625512,-3.548028,432.034
CD2,5.640672,-3.561222,431.8692
CD2,5.651738,-3.569905,431.8772
CD2,5.664239,-3.581326,431.8216
CD2,5.678419,-3.589616,431.4866
CD2,5.691674,-3.602184,431.3741
CD2,5.704775,-3.610212,431.0091
CD2,5.718319,-3.620831,431.2572
CD2,5.728155,-3.626051,430.8847
CD2,5.743386,-3.638715,430.6274
CD2,5.761002,-3.649903,430.4907
CD2,5.761259,-3.659916,430.7452
CD2,5.77607,-3.668183,430.3357
CD2,5.793555,-3.680648,430.3084
CD2,5.807713,-3.687918,429.8357
CD2,5.81666,-3.697931,429.5736
CD2,5.831177,-3.706578,429.2905
CD2,5.845008,-3.714534,429.3428
CD2,5.859454,-3.723075,429.3236
CD2,5.872055,-3.73565,429.1179
CD2,5.883498,-3.744342,429.1413
CD2,5.898447,-3.75587,428.8287
CD2,5.910957,-3.76391,428.7895
CD2,5.922591,-3.772369,428.7542
CD2,5.937535,-3.782033,428.4605
CD2,5.949139,-3.792433,428.4595
CD2,5.962548,-3.80215,428.1183
CD2,5.975864,-3.81097,427.6419
CD2,5.987377,-3.821114,427.8232
CD2,6.001002,-3.828966,427.6944
CD2,6.012849,-3.838403,427.7473
CD2,6.027774,-3.848315,427.2917
CD2,6.039804,-3.856535,427.3286
CD2,6.051893,-3.86745,426.9973
CD2,6.066498,-3.877968,426.9351
CD2,6.079381,-3.887406,426.7552
CD2,6.091629,-3.896936,426.708
CD2,6.103744,-3.90611,426.3083
CD2,6.118019,-3.91355,426.5013
CD2,6.129951,-3.923776,426.0346
CD2,6.14476,-3.933157,426.086
CD2,6.155798,-3.942036,425.6879
CD2,6.17004,-3.950288,425.5008
CD2,6.181738,-3.959869,425.28
CD2,6.19579,-3.968778,425.2068
CD2,6.209809,-3.979282,424.8958
CD2,6.222314,-3.987652,424.5854
CD2,6.233806,-3.997058,424.4235
CD2,6.247335,-4.00658,424.5425
CD2,6.259862,-4.014193,424.2974
CD2,6.274674,-4.02473,424.3808
CD2,6.286368,-4.034428,423.9581
CD2,6.300093,-4.043267,423.9024
CD2,6.313696,-4.050698,423.7448
CD2,6.323916,-4.061183,423.9137
CD2,6.337036,-4.069138,423.4717
CD2,6.352349,-4.080804,423.3993
CD2,6.364186,-4.090496,423.0995
CD2,6.377373,-4.099895,423.0805
CD2,6.389824,-4.10927,422.4927
CD2,6.401011,-4.116084,422.3799
CD2,6.4161,-4.12549,421.9965
CD2,6.428652,-4.133536,422.3441
CD2,6.442557,-4.143278,421.7378
CD2,6.456803,-4.152105,421.5233
CD2,6.469693,-4.161595,421.1183
CD2,6.482319,-4.171177,420.9934
CD2,6.492495,-4.179944,420.8262
CD2,6.507745,-4.188416,420.8114
CD2,6.52035,-4.196837,420.4311
CD2,6.53272,-4.207198,420.3026
CD2,6.54815,-4.214657,419.7849
CD2,6.561739,-4.222947,419.6849
CD2,6.575435,-4.233082,419.133
CD2,6.588541,-4.239858,419.2751
CD2,6.601938,-4.248439,419.0551
CD2,6.610783,-4.257245,419.0204
CD2,6.624911,-4.264795,418.8804
CD2,6.637889,-4.273949,418.642
CD2,6.649296,-4.28355,418.5072
CD2,6.668694,-4.293383,418.1175
CD2,6.676382,-4.301939,417.9576
CD2,6.685546,-4.309383,417.6624
CD2,6.706394,-4.318011,417.6643
CD2,6.714701,-4.326197,417.4311
CD2,6.729545,-4.334429,417.0692
CD2,6.74301,-4.344296,416.9973
CD2,6.754647,-4.351935,417.0313
CD2,6.770856,-4.359425,416.8162
CD2,6.780467,-4.368161,416.4208
CD2,6.794402,-4.377639,416.1165
CD2,6.805695,-4.386136,415.668
CD2,6.820428,-4.393324,415.6325
CD2,6.83378,-4.401311,415.2184
CD2,6.84739,-4.40977,415.3786
CD2,6.858014,-4.41688,415.0072
CD2,6.872106,-4.425339,414.9147
CD2,6.884276,-4.432789,414.4836
CD2,6.900023,-4.442732,414.2208
CD2,6.909901,-4.449637,413.9397
CD2,6.924141,-4.45703,413.6999
CD2,6.935953,-4.467329,413.3923
CD2,6.948817,-4.474902,413.0678
CD2,6.96091,-4.482864,412.901
